site,method,horizon,quantile,initial_prediction,prediction_min,prediction_max,prediction_std,zero_fraction,all_quantile_crossing_fraction
nist,quantile_flexible,3,0.25,0.0,0.0,0.0,0.0,1.0,0.26343351548269583
nist,quantile_flexible,3,0.5,0.0,0.0,0.0,0.0,1.0,0.26343351548269583
nist,quantile_flexible,3,0.75,0.1701773180642778,-0.02416074777369963,0.8647333256427862,0.2508221800447335,0.0,0.26343351548269583
nist,quantile_flexible,3,0.9,0.5523088289619504,-0.008052066930105796,0.9267696709731085,0.2740105105559944,0.0,0.26343351548269583
nist,quantile_flexible,3,0.95,0.6830501169806674,-0.0006081398391542628,0.9143232837551827,0.29611427095827164,0.0,0.26343351548269583
nist,quantile_flexible,4,0.05,0.0,0.0,0.0,0.0,1.0,0.15198087431693988
nist,quantile_flexible,4,0.1,0.0,0.0,0.0,0.0,1.0,0.15198087431693988
nist,quantile_flexible,4,0.25,0.0,0.0,0.0,0.0,1.0,0.15198087431693988
nist,quantile_flexible,4,0.5,0.0,0.0,0.0,0.0,1.0,0.15198087431693988
nist,quantile_flexible,4,0.75,0.17030507326683908,-0.01129244606691618,0.8834840268785856,0.250836228335838,0.0,0.15198087431693988
nist,quantile_flexible,4,0.9,0.5523777859869476,-0.011721936974962401,0.8920725110265925,0.2798021664310988,0.0,0.15198087431693988
nist,quantile_flexible,4,0.95,0.6830501169806674,-0.00019350322112170673,0.9206284185696152,0.2991876519075415,0.0,0.15198087431693988
colorado,quantile_compact,1,0.05,0.0026061076333333336,-0.0031736047252112435,0.28690698656371294,0.08212049021691477,0.0,0.6156648451730419
colorado,quantile_compact,1,0.1,0.0027166817666666667,-0.0035210636333474327,0.5219869919778597,0.15037149690428098,0.0,0.6156648451730419
colorado,quantile_compact,1,0.25,0.0028391277374999998,-0.007857668864489142,0.7999251678104632,0.2325339377149912,0.0,0.6156648451730419
colorado,quantile_compact,1,0.5,0.002968637408333333,-0.006764850711007542,0.8837616027620719,0.2602318701171647,0.0,0.6156648451730419
colorado,quantile_compact,1,0.75,0.2559357708333333,-0.012289809861880696,0.9051734581374592,0.2769842911137264,0.0,0.6156648451730419
colorado,quantile_compact,1,0.9,0.6442140366666667,-0.0017017194286755688,0.9134793953590103,0.2958958594318606,0.0,0.6156648451730419
colorado,quantile_compact,1,0.95,0.75718654,0.004275091310706586,0.9190796610751966,0.3041240620285596,0.0,0.6156648451730419
colorado,quantile_compact,2,0.05,0.0026061076333333336,-0.00549773251706328,0.19546203826597833,0.04609506527958877,0.0,0.6276183970856102
colorado,quantile_compact,2,0.1,0.0027168511666666667,-0.011917158520468754,0.42590717694706104,0.11128330037830572,0.0,0.6276183970856102
colorado,quantile_compact,2,0.25,0.0028391349,-0.05652301294380359,0.7867974830107004,0.21287172809990593,0.0,0.6276183970856102
colorado,quantile_compact,2,0.5,0.0029686379666666665,-0.011561391295543816,0.8726841153467764,0.25809544609460683,0.0,0.6276183970856102
colorado,quantile_compact,2,0.75,0.25595686333333334,-0.00577704716419793,0.900844355086218,0.2837999786874015,0.0,0.6276183970856102
colorado,quantile_compact,2,0.9,0.6442140366666667,-0.0022835160192168366,0.9171150488289651,0.30550332001085767,0.0,0.6276183970856102
colorado,quantile_compact,2,0.95,0.75718654,0.004521807563679854,0.9347260661169549,0.31768362814770557,0.0,0.6276183970856102
colorado,quantile_compact,3,0.05,0.0026061076333333336,-0.0050557588425093865,0.12884796065353882,0.03532881005867197,0.0,0.5860655737704918
colorado,quantile_compact,3,0.1,0.0027168790666666667,-0.009111564839357196,0.34656518207442455,0.09129094620411765,0.0,0.5860655737704918
colorado,quantile_compact,3,0.25,0.00283913695,-0.040663758938027796,0.7724865245493642,0.1971844764943095,0.0,0.5860655737704918
colorado,quantile_compact,3,0.5,0.0029687146416666668,-0.020409251976270946,0.8887912372852385,0.256496857237489,0.0,0.5860655737704918
colorado,quantile_compact,3,0.75,0.25595686333333334,-0.006637415339795823,0.9206727018568188,0.2887479791850789,0.0,0.5860655737704918
colorado,quantile_compact,3,0.9,0.6442193473333334,0.003059804600278836,0.9208618117905829,0.3106414487829989,0.0,0.5860655737704918
colorado,quantile_compact,3,0.95,0.75718654,0.004149712035861095,0.9140377150643885,0.31937928395180165,0.0,0.5860655737704918
colorado,quantile_compact,4,0.05,0.0026061076333333336,-0.009188444198924327,0.11395902892332214,0.0331437299952215,0.0,0.6246584699453552
colorado,quantile_compact,4,0.1,0.0027170488416666666,-0.009746776876611919,0.40873244156087685,0.09611418489473117,0.0,0.6246584699453552
colorado,quantile_compact,4,0.25,0.0028391636000000002,-0.02554975096773671,0.7406119474254237,0.18490464411944635,0.0,0.6246584699453552
colorado,quantile_compact,4,0.5,0.0029687913166666666,-0.011374429780579226,0.8727887490602617,0.2531940278767888,0.0,0.6246584699453552
colorado,quantile_compact,4,0.75,0.25595686333333334,-0.012344106080069655,0.9161102515511079,0.290287153570725,0.0,0.6246584699453552
colorado,quantile_compact,4,0.9,0.64424059,0.0031339151711037025,0.9227685431585801,0.3136919615840741,0.0,0.6246584699453552
colorado,quantile_compact,4,0.95,0.75718654,0.0038149443678847277,0.9194439247704449,0.32095208819043447,0.0,0.6246584699453552
colorado,quantile_flexible,1,0.05,0.0026061076333333336,-0.010734494374653469,0.4745688738948821,0.11710303252561018,0.0,0.7202868852459017
colorado,quantile_flexible,1,0.1,0.0027166817666666667,-0.014118065008406405,0.691978785020686,0.18379693160531124,0.0,0.7202868852459017
