scenario,phase,method,n,nwis,coverage90,width90_kw,events
pv_first,outage,context,140,0.07910231308086652,1.0,168.80018572486657,8
pv_first,outage,persistence,140,0.13542662408369335,0.8142857142857143,164.0947169047619,8
pv_first,outage,quantile_raw,140,0.07910132372332224,1.0,168.80018572486657,8
pv_first,outage,recovery,140,0.07910132372332224,1.0,168.80018572486657,8
pv_first,outage,rolling,140,0.07910132372332224,1.0,168.80018572486657,8
pv_first,recovery,context,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
pv_first,recovery,persistence,332,0.1135662040080741,0.8765060240963856,159.11970436746986,8
pv_first,recovery,quantile_raw,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
pv_first,recovery,recovery,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
pv_first,recovery,rolling,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
pv_only,background,context,1908,0.09055328881202053,0.94916142557652,144.24441881675713,0
pv_only,background,persistence,1908,0.11376201381321867,0.860062893081761,157.49118977987422,0
pv_only,background,quantile_raw,1908,0.09051271192060589,0.94916142557652,144.21326825269546,0
pv_only,background,recovery,1908,0.09054180157360459,0.94916142557652,144.2438831453583,0
pv_only,background,rolling,1908,0.09054160319036428,0.94916142557652,144.2438831453583,0
pv_only,outage,context,140,0.0738944382558855,1.0,163.46393427133094,8
pv_only,outage,persistence,140,0.1342856399257154,0.8142857142857143,168.0209661904762,8
pv_only,outage,quantile_raw,140,0.0738944382558855,1.0,163.46393427133094,8
pv_only,outage,recovery,140,0.0738944382558855,1.0,163.46393427133094,8
pv_only,outage,rolling,140,0.0738944382558855,1.0,163.46393427133094,8
pv_only,recovery,context,332,0.0886136115229117,0.9578313253012049,144.7318180023518,8
pv_only,recovery,persistence,332,0.11135223650684856,0.8885542168674698,164.8790279116466,8
pv_only,recovery,quantile_raw,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
pv_only,recovery,recovery,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
pv_only,recovery,rolling,332,0.08861222929792487,0.9578313253012049,144.7318180023518,8
