split,scenario,phase,method,horizon,n,nwis,wis_kw,mae_kw,coverage50,coverage80,coverage90,width90_kw,events
calibration,irradiance_first,recovery,context,2,86,0.09562067113299597,25.884515675702005,64.43176956928762,0.5348837209302325,0.7674418604651163,1.0,149.6293248783206,6
calibration,irradiance_first,recovery,context,3,86,0.11503627681278299,31.140320133220357,94.28633264710481,0.5348837209302325,0.7790697674418605,0.9767441860465116,154.80989805781317,6
calibration,irradiance_first,recovery,context,4,86,0.12401038309977498,33.569610705109085,105.6754125968992,0.5232558139534884,0.7674418604651163,0.8488372093023255,143.79517294650685,6
calibration,irradiance_first,recovery,persistence,1,86,0.06267625243360289,16.9664615337763,30.74363798449612,0.23255813953488372,0.6976744186046512,0.9069767441860465,102.79126220930232,6
calibration,irradiance_first,recovery,persistence,2,86,0.10778488079590219,29.17736723145072,53.08414767441861,0.23255813953488372,0.6511627906976745,0.8372093023255814,157.28394011627907,6
calibration,irradiance_first,recovery,persistence,3,86,0.1440110707607241,38.983796854928016,70.97588410852713,0.3023255813953488,0.6395348837209303,0.8023255813953488,194.504232751938,6
calibration,irradiance_first,recovery,persistence,4,86,0.16676324344292576,45.142810000000004,83.44705077519379,0.32558139534883723,0.6744186046511628,0.7674418604651163,218.17511841085272,6
calibration,irradiance_first,recovery,quantile_raw,1,86,0.08842110636646243,23.935593493401377,70.55278090140939,0.5697674418604651,0.8604651162790697,0.9883720930232558,137.40804312296194,6
calibration,irradiance_first,recovery,quantile_raw,2,86,0.09559619842401182,25.87789091338,64.43176956928762,0.5348837209302325,0.7674418604651163,1.0,149.6293248783206,6
calibration,irradiance_first,recovery,quantile_raw,3,86,0.1151040360545167,31.158662559957673,94.28633264710481,0.5348837209302325,0.7674418604651163,0.9767441860465116,154.79139925507087,6
calibration,irradiance_first,recovery,quantile_raw,4,86,0.1263882335078794,34.21329481058296,105.6754125968992,0.5232558139534884,0.7209302325581395,0.8255813953488372,138.08388474537048,6
calibration,irradiance_first,recovery,recovery,1,86,0.08842110636646243,23.935593493401377,70.55278090140939,0.5697674418604651,0.8604651162790697,0.9883720930232558,137.40804312296194,6
calibration,irradiance_first,recovery,recovery,2,86,0.09559619842401182,25.87789091338,64.43176956928762,0.5348837209302325,0.7674418604651163,1.0,149.6293248783206,6
calibration,irradiance_first,recovery,recovery,3,86,0.1151040360545167,31.158662559957673,94.28633264710481,0.5348837209302325,0.7674418604651163,0.9767441860465116,154.79139925507087,6
calibration,irradiance_first,recovery,recovery,4,86,0.12604951422243751,34.12160350001383,105.6754125968992,0.5232558139534884,0.7441860465116279,0.8255813953488372,139.32298372017186,6
calibration,irradiance_first,recovery,rolling,1,86,0.08842110636646243,23.935593493401377,70.55278090140939,0.5697674418604651,0.8604651162790697,0.9883720930232558,137.40804312296194,6
calibration,irradiance_first,recovery,rolling,2,86,0.09559619842401182,25.87789091338,64.43176956928762,0.5348837209302325,0.7674418604651163,1.0,149.6293248783206,6
calibration,irradiance_first,recovery,rolling,3,86,0.1151040360545167,31.158662559957673,94.28633264710481,0.5348837209302325,0.7674418604651163,0.9767441860465116,154.79139925507087,6
calibration,irradiance_first,recovery,rolling,4,86,0.12625650530191165,34.177635985227475,105.6754125968992,0.5232558139534884,0.7325581395348837,0.8372093023255814,140.7912656966249,6
calibration,irradiance_only,background,context,1,493,0.08855727903087414,23.97245543365763,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,irradiance_only,background,context,2,499,0.0944333110345605,25.563097297055528,62.70427590530975,0.5270541082164328,0.8156312625250501,0.9539078156312625,147.84948409651295,0
calibration,irradiance_only,background,context,3,505,0.11192456934202473,30.297980920886097,90.55094844956314,0.5326732673267327,0.7881188118811882,0.9386138613861386,152.3357583903071,0
calibration,irradiance_only,background,context,4,511,0.1198764327403214,32.450550342805,103.40070841487281,0.5185909980430529,0.7710371819960861,0.9080234833659491,144.4787535634415,0
calibration,irradiance_only,background,persistence,1,493,0.06669086894964603,18.05321822466918,30.96695848546315,0.20081135902636918,0.6227180527383367,0.8073022312373225,89.84971784989857,0
calibration,irradiance_only,background,persistence,2,499,0.10708193624394108,28.987080141234852,51.66570297261189,0.2124248496993988,0.6192384769539078,0.8016032064128257,141.53666649966598,0
calibration,irradiance_only,background,persistence,3,505,0.13866769881009422,37.5373460678925,68.08352442244225,0.23366336633663368,0.6336633663366337,0.7762376237623763,177.10681729372936,0
calibration,irradiance_only,background,persistence,4,511,0.15894701359611307,43.026956580467804,80.46060991519896,0.2837573385518591,0.639921722113503,0.7827788649706457,199.8731775277234,0
calibration,irradiance_only,background,quantile_raw,1,493,0.0885528230680762,23.971249204528227,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,irradiance_only,background,quantile_raw,2,499,0.09451570364279953,25.58540097610583,62.70427590530975,0.5270541082164328,0.8136272545090181,0.9539078156312625,147.81787080185015,0
calibration,irradiance_only,background,quantile_raw,3,505,0.11201217615001959,30.321696083810302,90.55094844956314,0.5326732673267327,0.7861386138613862,0.9386138613861386,152.30681715171852,0
calibration,irradiance_only,background,quantile_raw,4,511,0.12256739280235339,33.17899323159706,103.40070841487281,0.5166340508806262,0.684931506849315,0.8101761252446184,139.38842588313705,0
calibration,irradiance_only,background,recovery,1,493,0.08855687949821839,23.972347280167718,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
calibration,irradiance_only,background,recovery,2,499,0.0945349872902379,25.590621059467402,62.70427590530975,0.5270541082164328,0.8136272545090181,0.9539078156312625,147.81787080185015,0
calibration,irradiance_only,background,recovery,3,505,0.11201309952054407,30.32194604021128,90.55094844956314,0.5326732673267327,0.7861386138613862,0.9386138613861386,152.30681715171852,0
calibration,irradiance_only,background,recovery,4,511,0.12198881637265802,33.022372592078526,103.40070841487281,0.5166340508806262,0.7084148727984344,0.8414872798434442,141.62896716411157,0
calibration,irradiance_only,background,rolling,1,493,0.08855687949821839,23.972347280167718,69.49663880630236,0.6206896551724138,0.8356997971602435,0.9310344827586207,134.0297830811844,0
