site,scenario,period,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
nist,clean,development_evaluation,single_imputation_compact,4,2137,0.06755751883467326,0.10113725509782374,0.3902667290594291,0.5956948993916705,0.6855404773046326,0.22655014437620272,0
nist,clean,development_evaluation,single_imputation_flexible,1,2138,0.041583688412349766,0.05586125387662011,0.3559401309635173,0.5332086061739943,0.6066417212347989,0.09048410592628602,0
nist,clean,development_evaluation,single_imputation_flexible,2,2137,0.060019503491957775,0.07918346802984114,0.3116518483855873,0.4693495554515676,0.5348619560131025,0.11264897452015815,0
nist,clean,development_evaluation,single_imputation_flexible,3,2137,0.06979202713649597,0.09086285408803489,0.2943378568086102,0.45156761815629387,0.5212915301824989,0.12110874480182644,0
nist,clean,development_evaluation,single_imputation_flexible,4,2137,0.08062254686179028,0.10371343592839838,0.2676649508656996,0.40383715489003275,0.48104819840898455,0.12670253590083735,0
nist,clean,validation,geometric_persistence,1,1899,0.04074309299668496,0.06201092103593759,0.3807266982622433,0.6898367561874671,0.8214849921011058,0.32495139783965193,0
nist,clean,validation,geometric_persistence,2,1899,0.06139763698222638,0.09934222961804597,0.38809899947340704,0.6619273301737757,0.8030542390731964,0.4474809377409306,0
nist,clean,validation,geometric_persistence,3,1899,0.07827515228284358,0.13044302463396146,0.3907319641916798,0.6777251184834123,0.7962085308056872,0.5344668525609035,0
nist,clean,validation,geometric_persistence,4,1899,0.09168573396351073,0.1569951610194919,0.4075829383886256,0.6819378620326487,0.785676671932596,0.5936785954473192,0
nist,clean,validation,multiple_imputation_compact,1,1899,0.03943386431352137,0.05891561852086877,0.45602948920484465,0.6619273301737757,0.7482885729331227,0.14726847068833043,0
nist,clean,validation,multiple_imputation_compact,2,1899,0.05645274454895769,0.08395139628821782,0.4038967877830437,0.593996840442338,0.6714060031595577,0.18558570908268465,0
nist,clean,validation,multiple_imputation_compact,3,1899,0.07032500799991692,0.10333163737422231,0.3596629805160611,0.5371248025276462,0.6197998946814113,0.20783764133690505,0
nist,clean,validation,multiple_imputation_compact,4,1899,0.08175343841355334,0.11934033136110427,0.3328067403896788,0.5155344918378094,0.607161664033702,0.22741771429172625,0
nist,clean,validation,multiple_imputation_flexible,1,1899,0.043463647007970625,0.05852369060975356,0.34913112164297,0.5192206424433913,0.5876777251184834,0.09490501462822996,0
nist,clean,validation,multiple_imputation_flexible,2,1899,0.06339395230795017,0.08325781878950571,0.3101632438125329,0.46445497630331756,0.5286993154291733,0.1163190991822863,0
nist,clean,validation,multiple_imputation_flexible,3,1899,0.07995526185827818,0.10275167463667885,0.27540810953133227,0.39968404423380727,0.46129541864139023,0.12506853634555304,0
nist,clean,validation,multiple_imputation_flexible,4,1899,0.0954182142969386,0.1200299848196762,0.25223802001053186,0.3691416535018431,0.42496050552922593,0.13038943858751395,0
nist,clean,validation,persistence,1,1899,0.06054701033449421,0.10290622100083266,0.3844128488678252,0.6987888362295945,0.8604528699315429,0.41432685433048927,0
nist,clean,validation,persistence,2,1899,0.09717472519429457,0.1717794267444761,0.3791469194312796,0.6972090573986308,0.8341232227488151,0.56273061259664,0
nist,clean,validation,persistence,3,1899,0.12203375457538237,0.21983244063476723,0.37546076882569773,0.7051079515534492,0.8193786203264877,0.6473878970367163,0
nist,clean,validation,persistence,4,1899,0.13612522057395957,0.24874974476031592,0.4038967877830437,0.6945760926803581,0.8104265402843602,0.6995008522200973,0
nist,clean,validation,quantile_compact,1,1899,0.08289586245033424,0.25077060676776763,0.6940494997367035,0.8541337546076883,0.9104791995787257,0.44208805498239817,0
nist,clean,validation,quantile_compact,2,1899,0.08818083219203572,0.2591214683680464,0.6703528172722486,0.8209583991574513,0.8988941548183255,0.4815379179887284,0
nist,clean,validation,quantile_compact,3,1899,0.09497795318607956,0.26896969349171523,0.6666666666666666,0.808320168509742,0.8857293312269615,0.4938401574905519,0
nist,clean,validation,quantile_compact,4,1899,0.1031609020088331,0.31169338002444463,0.6766719325961033,0.79884149552396,0.8841495523959979,0.5010274170879152,0
nist,clean,validation,quantile_flexible,1,1899,0.07281607330666419,0.19121685427517793,0.6598209583991574,0.817798841495524,0.8873091100579252,0.4282535519065023,0
nist,clean,validation,quantile_flexible,2,1899,0.08412344576084692,0.23153551666003494,0.6229594523433386,0.7851500789889415,0.8751974723538705,0.4714158285963411,0
nist,clean,validation,quantile_flexible,3,1899,0.09264325457638636,0.2457435159377324,0.6303317535545023,0.7667193259610321,0.8572933122696156,0.47933992641587164,0
nist,clean,validation,quantile_flexible,4,1899,0.10446007648008315,0.31169338002444463,0.6492890995260664,0.7719852553975777,0.856766719325961,0.4880956526074573,0
nist,clean,validation,single_imputation_compact,1,1899,0.03973071557070655,0.058800711276100766,0.4518167456556082,0.6566614007372301,0.7435492364402317,0.14291166058113894,0
nist,clean,validation,single_imputation_compact,2,1899,0.05655171653723011,0.08348477305741489,0.40337019483938913,0.5887309110057926,0.6677198525539758,0.18193999555305723,0
