split,phase_detail,method,n,nwis,coverage50,coverage80,coverage90,width90_kw,repair_fraction,events
development_evaluation,outage,signed_day,104,0.09221687129539638,0.6057692307692307,0.8461538461538461,0.9326923076923077,193.1761760403559,0.5288461538461539,9
development_evaluation,partial_restoration,aci_bounded_day,100,0.13561678666340163,0.53,0.76,0.91,205.31822929252996,0.56,9
development_evaluation,partial_restoration,context_day,100,0.13769089162546463,0.54,0.76,0.91,209.6157362167417,0.62,9
development_evaluation,partial_restoration,expand_all,100,0.13714344688155128,0.62,0.79,0.95,215.16023653645235,0.0,9
development_evaluation,partial_restoration,expand_day,100,0.13714344688155128,0.62,0.79,0.95,215.16023653645235,0.0,9
development_evaluation,partial_restoration,mask_day,100,0.1356472460354121,0.59,0.76,0.94,212.1514520708665,0.47,9
development_evaluation,partial_restoration,raw,100,0.13714344688155128,0.62,0.79,0.95,215.16023653645235,0.0,9
development_evaluation,partial_restoration,recency_day,100,0.13557495757619573,0.6,0.76,0.94,212.06523852492825,0.42,9
development_evaluation,partial_restoration,recovery_day,100,0.1356711805734477,0.58,0.76,0.94,212.12362481935165,0.5,9
development_evaluation,partial_restoration,signed_all,100,0.13714344688155128,0.62,0.79,0.95,215.16023653645235,0.0,9
development_evaluation,partial_restoration,signed_day,100,0.1356133109548214,0.6,0.76,0.94,211.7041408647927,0.42,9
development_evaluation,recovery_0_to_6h,aci_bounded_day,135,0.0739763884841164,0.5925925925925926,0.9037037037037037,0.9555555555555556,144.1491444760638,0.8296296296296296,8
development_evaluation,recovery_0_to_6h,context_day,135,0.07356210883588299,0.5703703703703704,0.9185185185185185,0.9777777777777777,145.49540913645203,0.7703703703703704,8
development_evaluation,recovery_0_to_6h,expand_all,135,0.07664084802520156,0.9037037037037037,0.9629629629629629,0.9925925925925926,153.17560520401204,0.0,8
development_evaluation,recovery_0_to_6h,expand_day,135,0.07666514250761804,0.9037037037037037,0.9629629629629629,0.9925925925925926,153.17560520401204,0.044444444444444446,8
development_evaluation,recovery_0_to_6h,mask_day,135,0.07421877092194619,0.7185185185185186,0.9407407407407408,0.9925925925925926,150.0637352524835,0.6592592592592592,8
development_evaluation,recovery_0_to_6h,raw,135,0.07664084802520156,0.9037037037037037,0.9629629629629629,0.9925925925925926,153.17560520401204,0.0,8
development_evaluation,recovery_0_to_6h,recency_day,135,0.07439971548090141,0.725925925925926,0.9481481481481482,0.9925925925925926,150.0113081846675,0.6888888888888889,8
development_evaluation,recovery_0_to_6h,recovery_day,135,0.0744615728513754,0.7111111111111111,0.9555555555555556,0.9925925925925926,149.86657186221078,0.6592592592592592,8
development_evaluation,recovery_0_to_6h,signed_all,135,0.07664084802520156,0.9037037037037037,0.9629629629629629,0.9925925925925926,153.17560520401204,0.0,8
development_evaluation,recovery_0_to_6h,signed_day,135,0.07398470797927426,0.7481481481481481,0.9555555555555556,0.9925925925925926,149.5622377131901,0.6814814814814815,8
development_evaluation,recovery_6_to_24h,aci_bounded_day,201,0.10223820768279994,0.417910447761194,0.7661691542288557,0.8805970149253731,133.37444604937545,0.9950248756218906,8
development_evaluation,recovery_6_to_24h,context_day,201,0.10005143741878712,0.5422885572139303,0.8407960199004975,0.9203980099502488,139.22457880313362,0.9303482587064676,8
development_evaluation,recovery_6_to_24h,expand_all,201,0.09932674990013322,0.6517412935323383,0.845771144278607,0.9303482587064676,141.17345394522704,0.0,8
development_evaluation,recovery_6_to_24h,expand_day,201,0.09929538832769988,0.6567164179104478,0.845771144278607,0.9303482587064676,141.2022646928408,0.08955223880597014,8
development_evaluation,recovery_6_to_24h,mask_day,201,0.10070199259129242,0.47761194029850745,0.8258706467661692,0.9104477611940298,138.64159888060968,0.900497512437811,8
development_evaluation,recovery_6_to_24h,raw,201,0.09932674990013322,0.6517412935323383,0.845771144278607,0.9303482587064676,141.17345394522704,0.0,8
development_evaluation,recovery_6_to_24h,recency_day,201,0.10069527831845496,0.472636815920398,0.8208955223880597,0.9154228855721394,138.6812207600516,0.9253731343283582,8
