site,case_id,case_group,period,phase,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events
nist,joint_gradual,primary,warmup,outage,physical_recovery,1,27,0.06595974367275256,0.12896053656195544,0.7407407407407407,0.8148148148148148,0.9629629629629629,0.5331157695156081,4
nist,joint_gradual,primary,warmup,outage,physical_recovery,2,26,0.060591155729661755,0.12186411208524342,0.6923076923076923,0.9230769230769231,0.9230769230769231,0.4857189180242625,4
nist,joint_gradual,primary,warmup,outage,physical_recovery,3,24,0.06151577340980687,0.11439348920169244,0.7083333333333334,0.9583333333333334,1.0,0.4884995283732106,3
nist,joint_gradual,primary,warmup,outage,physical_recovery,4,22,0.06138878119649271,0.11949111828020312,0.8181818181818182,1.0,1.0,0.4975159357547218,3
nist,joint_gradual,primary,warmup,outage,previous_day,1,27,0.0985227380480028,0.18077506419114597,0.25925925925925924,0.6666666666666666,0.9259259259259259,0.5564969500654453,4
nist,joint_gradual,primary,warmup,outage,previous_day,2,26,0.09603009371984991,0.17607884591704318,0.2692307692307692,0.6538461538461539,0.9230769230769231,0.546646642607485,4
nist,joint_gradual,primary,warmup,outage,previous_day,3,24,0.09761271379572949,0.17832425193941634,0.3333333333333333,0.6666666666666666,0.9166666666666666,0.5665287320937487,3
nist,joint_gradual,primary,warmup,outage,previous_day,4,22,0.09958116336993877,0.18030851831950834,0.3181818181818182,0.7272727272727273,0.9090909090909091,0.5874623786815327,3
nist,joint_gradual,primary,warmup,outage,raw,1,27,0.06566303141928098,0.12896053656195544,0.7407407407407407,0.8148148148148148,0.9259259259259259,0.5258846082471834,4
nist,joint_gradual,primary,warmup,outage,raw,2,26,0.060213827622184496,0.12186411208524342,0.6538461538461539,0.8846153846153846,0.9230769230769231,0.4760317898548114,4
nist,joint_gradual,primary,warmup,outage,raw,3,24,0.06099310506235004,0.11439348920169244,0.6666666666666666,0.875,1.0,0.4790243795643898,3
nist,joint_gradual,primary,warmup,outage,raw,4,22,0.06080997549834242,0.11949111828020312,0.7727272727272727,1.0,1.0,0.48756335660740613,3
nist,joint_gradual,primary,warmup,outage,recency,1,27,0.06586886958338824,0.12896053656195544,0.7407407407407407,0.8888888888888888,0.9629629629629629,0.5362567949344489,4
nist,joint_gradual,primary,warmup,outage,recency,2,26,0.0608642025413984,0.12186411208524342,0.6923076923076923,0.9615384615384616,0.9615384615384616,0.4873404726016836,4
nist,joint_gradual,primary,warmup,outage,recency,3,24,0.061657811176925675,0.11439348920169244,0.7083333333333334,0.9583333333333334,1.0,0.4902093154565145,3
nist,joint_gradual,primary,warmup,outage,recency,4,22,0.06173091493404095,0.11949111828020312,0.8636363636363636,1.0,1.0,0.4997045730665077,3
nist,joint_gradual,primary,warmup,outage,rolling,1,27,0.06590267088878876,0.12896053656195544,0.7407407407407407,0.8888888888888888,0.9629629629629629,0.5372375334229664,4
nist,joint_gradual,primary,warmup,outage,rolling,2,26,0.060862998572380964,0.12186411208524342,0.6923076923076923,0.9615384615384616,0.9615384615384616,0.4873685415484396,4
nist,joint_gradual,primary,warmup,outage,rolling,3,24,0.06179647219591189,0.11439348920169244,0.7083333333333334,0.9583333333333334,1.0,0.49187054686179205,3
nist,joint_gradual,primary,warmup,outage,rolling,4,22,0.06184708765198101,0.11949111828020312,0.8636363636363636,1.0,1.0,0.5024587553303541,3
nist,joint_gradual,primary,warmup,outage,single_imputation,1,27,0.07396642968797633,0.11023424221631963,0.2962962962962963,0.5555555555555556,0.6296296296296297,0.22262494819241535,4
nist,joint_gradual,primary,warmup,outage,single_imputation,2,26,0.06695475295002863,0.11504821293066862,0.2692307692307692,0.5769230769230769,0.6923076923076923,0.27413682779503723,4
nist,joint_gradual,primary,warmup,outage,single_imputation,3,24,0.06636090769698712,0.11137191020650657,0.375,0.625,0.7083333333333334,0.30735823021977043,3
nist,joint_gradual,primary,warmup,outage,single_imputation,4,22,0.06846775206774082,0.12160284135209866,0.2727272727272727,0.5909090909090909,0.6818181818181818,0.3316973907284333,3
nist,joint_gradual,primary,warmup,recovery_0_6,aci_bounded,1,3,0.004148344584385931,0.003682796410812643,1.0,1.0,1.0,0.07644246315797144,2
nist,joint_gradual,primary,warmup,recovery_0_6,aci_bounded,2,3,0.023013716932147738,0.03449966193858339,0.6666666666666666,1.0,1.0,0.23473192980667265,1
nist,joint_gradual,primary,warmup,recovery_0_6,aci_bounded,3,4,0.03111462222382288,0.02075310640230772,0.75,1.0,1.0,0.34212324958237506,1
nist,joint_gradual,primary,warmup,recovery_0_6,aci_bounded,4,5,0.041245508214735126,0.044531805309095174,1.0,1.0,1.0,0.41420877879285267,1
nist,joint_gradual,primary,warmup,recovery_0_6,carry_forward,1,3,0.009717638207766124,0.011407906615307703,0.6666666666666666,1.0,1.0,0.11044001570378807,2
nist,joint_gradual,primary,warmup,recovery_0_6,carry_forward,2,3,0.023207692684399792,0.02731724962443822,0.0,1.0,1.0,0.23494169297883008,1
nist,joint_gradual,primary,warmup,recovery_0_6,carry_forward,3,4,0.03758556018278185,0.04397368851160072,0.25,1.0,1.0,0.3366280316375384,1
nist,joint_gradual,primary,warmup,recovery_0_6,carry_forward,4,5,0.04664566759238834,0.06041842949879428,0.0,0.8,1.0,0.40923055777386896,1
nist,joint_gradual,primary,warmup,recovery_0_6,geometric_persistence,1,3,0.007055099419141096,0.012122811370857328,0.6666666666666666,1.0,1.0,0.10188524546478232,2
nist,joint_gradual,primary,warmup,recovery_0_6,geometric_persistence,2,3,0.013530808521391257,0.011980843054333265,0.6666666666666666,1.0,1.0,0.19482328736198332,1
nist,joint_gradual,primary,warmup,recovery_0_6,geometric_persistence,3,4,0.02237026118352772,0.01380938308090137,0.75,1.0,1.0,0.30750788080285685,1
nist,joint_gradual,primary,warmup,recovery_0_6,geometric_persistence,4,5,0.028726565519279313,0.016242999630587368,0.8,1.0,1.0,0.39724742396256535,1
nist,joint_gradual,primary,warmup,recovery_0_6,mask50,1,3,0.004153638396401599,0.003682796410812643,1.0,1.0,1.0,0.07618899712848297,2
nist,joint_gradual,primary,warmup,recovery_0_6,mask50,2,3,0.022971226092901493,0.03449966193858339,0.6666666666666666,1.0,1.0,0.23402855874303863,1
nist,joint_gradual,primary,warmup,recovery_0_6,mask50,3,4,0.030873239223666676,0.02075310640230772,0.75,1.0,1.0,0.33702692288854513,1
nist,joint_gradual,primary,warmup,recovery_0_6,mask50,4,5,0.04116446538302272,0.044531805309095174,1.0,1.0,1.0,0.409338334606946,1
nist,joint_gradual,primary,warmup,recovery_0_6,mi_recency,1,3,0.011377664510933113,0.007839656548327087,0.6666666666666666,0.6666666666666666,1.0,0.14902568151383558,2
nist,joint_gradual,primary,warmup,recovery_0_6,mi_recency,2,3,0.024177222957115902,0.04484964507619724,0.6666666666666666,1.0,1.0,0.23404495258936028,1
nist,joint_gradual,primary,warmup,recovery_0_6,mi_recency,3,4,0.039469647253718904,0.07250239700345318,0.75,1.0,1.0,0.34682880138518,1
nist,joint_gradual,primary,warmup,recovery_0_6,mi_recency,4,5,0.05090273287821269,0.1002742835182282,0.4,1.0,1.0,0.4124975512277409,1
nist,joint_gradual,primary,warmup,recovery_0_6,multiple_imputation,1,3,0.011563696537653637,0.007839656548327087,1.0,1.0,1.0,0.14040381993895854,2
nist,joint_gradual,primary,warmup,recovery_0_6,multiple_imputation,2,3,0.02331430387329479,0.04484964507619724,0.6666666666666666,1.0,1.0,0.21352343291040668,1
nist,joint_gradual,primary,warmup,recovery_0_6,multiple_imputation,3,4,0.03779477228055923,0.07250239700345318,0.5,0.75,1.0,0.2638563526094394,1
nist,joint_gradual,primary,warmup,recovery_0_6,multiple_imputation,4,5,0.05060066734052767,0.1002742835182282,0.4,0.6,1.0,0.2976965402676517,1
nist,joint_gradual,primary,warmup,recovery_0_6,persistence,1,3,0.012121782811757876,0.029262878134876658,0.6666666666666666,1.0,1.0,0.11494405450888644,2
nist,joint_gradual,primary,warmup,recovery_0_6,persistence,2,3,0.015493287244709488,0.010361306078890124,0.6666666666666666,1.0,1.0,0.2154338135697574,1
nist,joint_gradual,primary,warmup,recovery_0_6,persistence,3,4,0.023943237549914682,0.013809383080901369,0.75,1.0,1.0,0.3260493781553996,1
nist,joint_gradual,primary,warmup,recovery_0_6,persistence,4,5,0.03023447513501152,0.01496911710380495,0.8,1.0,1.0,0.4078797290974017,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical,1,3,0.004054068367882749,0.003682796410812643,1.0,1.0,1.0,0.0737055366355308,2
nist,joint_gradual,primary,warmup,recovery_0_6,physical,2,3,0.022940573457109707,0.03449966193858339,0.6666666666666666,1.0,1.0,0.22864259337661616,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical,3,4,0.03092899185072582,0.02075310640230772,0.75,1.0,1.0,0.3391516565954963,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical,4,5,0.04138494959776429,0.044531805309095174,1.0,1.0,1.0,0.4121660686206846,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical_availability,1,3,0.004082606552375827,0.003682796410812643,1.0,1.0,1.0,0.0737055366355308,2
nist,joint_gradual,primary,warmup,recovery_0_6,physical_availability,2,3,0.023027524944305978,0.03449966193858339,0.6666666666666666,1.0,1.0,0.23155758695185624,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical_availability,3,4,0.03095682044896454,0.02075310640230772,0.75,1.0,1.0,0.3397258244470728,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical_availability,4,5,0.04151049025212629,0.044531805309095174,1.0,1.0,1.0,0.4130608277962614,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical_recovery,1,3,0.004009168827479866,0.003682796410812643,1.0,1.0,1.0,0.07197318196111098,2
nist,joint_gradual,primary,warmup,recovery_0_6,physical_recovery,2,3,0.023136055755501424,0.03449966193858339,0.6666666666666666,1.0,1.0,0.2328706066409326,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical_recovery,3,4,0.03114103538194322,0.02075310640230772,0.75,1.0,1.0,0.3462597797950787,1
nist,joint_gradual,primary,warmup,recovery_0_6,physical_recovery,4,5,0.042011460286304356,0.044531805309095174,1.0,1.0,1.0,0.4188659466940935,1
nist,joint_gradual,primary,warmup,recovery_0_6,previous_day,1,3,0.0066494109334412285,0.011480831588884785,0.3333333333333333,1.0,1.0,0.08324251939416327,2
nist,joint_gradual,primary,warmup,recovery_0_6,previous_day,2,3,0.012415171923467088,0.009751241636908431,0.6666666666666666,1.0,1.0,0.19721717358289212,1
nist,joint_gradual,primary,warmup,recovery_0_6,previous_day,3,4,0.017490303819902544,0.013482083487255249,0.75,1.0,1.0,0.26984931042974997,1
nist,joint_gradual,primary,warmup,recovery_0_6,previous_day,4,5,0.02134535203264905,0.014142777983007022,0.8,1.0,1.0,0.32438580224110336,1
nist,joint_gradual,primary,warmup,recovery_0_6,raw,1,3,0.003569384747815641,0.003682796410812643,0.6666666666666666,1.0,1.0,0.06556132562573919,2
nist,joint_gradual,primary,warmup,recovery_0_6,raw,2,3,0.022296443562412713,0.03449966193858339,0.3333333333333333,1.0,1.0,0.2212957411779879,1
nist,joint_gradual,primary,warmup,recovery_0_6,raw,3,4,0.030053273657200993,0.02075310640230772,0.25,1.0,1.0,0.3258725876084903,1
nist,joint_gradual,primary,warmup,recovery_0_6,raw,4,5,0.04012061663485117,0.044531805309095174,0.4,0.8,1.0,0.3966989430909588,1
nist,joint_gradual,primary,warmup,recovery_0_6,recency,1,3,0.004119820245007046,0.003682796410812643,1.0,1.0,1.0,0.0756533038955123,2
nist,joint_gradual,primary,warmup,recovery_0_6,recency,2,3,0.02283543200191999,0.03449966193858339,0.6666666666666666,1.0,1.0,0.23057378572571827,1
nist,joint_gradual,primary,warmup,recovery_0_6,recency,3,4,0.030822473445540344,0.02075310640230772,0.75,1.0,1.0,0.33699509071256645,1
nist,joint_gradual,primary,warmup,recovery_0_6,recency,4,5,0.041057199914495766,0.044531805309095174,0.8,1.0,1.0,0.4079144609517586,1
nist,joint_gradual,primary,warmup,recovery_0_6,rolling,1,3,0.004155894093724857,0.003682796410812643,1.0,1.0,1.0,0.07624246832625103,2
nist,joint_gradual,primary,warmup,recovery_0_6,rolling,2,3,0.022959919095078555,0.03449966193858339,0.6666666666666666,1.0,1.0,0.23473192980667265,1
nist,joint_gradual,primary,warmup,recovery_0_6,rolling,3,4,0.031134237191471594,0.02075310640230772,0.75,1.0,1.0,0.34269741743395166,1
nist,joint_gradual,primary,warmup,recovery_0_6,rolling,4,5,0.041308432531335475,0.044531805309095174,1.0,1.0,1.0,0.41420877879285267,1
nist,joint_gradual,primary,warmup,recovery_0_6,single_imputation,1,3,0.011381138966670763,0.008504269815465653,1.0,1.0,1.0,0.1378954471606857,2
nist,joint_gradual,primary,warmup,recovery_0_6,single_imputation,2,3,0.02331430387329478,0.04484964507619723,0.6666666666666666,1.0,1.0,0.21352343291040668,1
nist,joint_gradual,primary,warmup,recovery_0_6,single_imputation,3,4,0.037996679442453385,0.07330242086402225,0.5,0.75,1.0,0.2645984563827878,1
nist,joint_gradual,primary,warmup,recovery_0_6,single_imputation,4,5,0.05125432426671931,0.10286153489404326,0.4,0.6,1.0,0.30010704661859605,1
nist,joint_gradual,primary,warmup,recovery_6_24,aci_bounded,1,35,0.028000039472846835,0.04334131059898508,0.45714285714285713,0.7714285714285715,0.8571428571428571,0.1881392566811742,4
nist,joint_gradual,primary,warmup,recovery_6_24,aci_bounded,2,35,0.04972905661399451,0.07746472164549599,0.5142857142857142,0.7142857142857143,0.8,0.38265392036009416,4
nist,joint_gradual,primary,warmup,recovery_6_24,aci_bounded,3,34,0.0656335716220443,0.11386149200774912,0.4117647058823529,0.6176470588235294,0.7941176470588235,0.456404113394105,4
nist,joint_gradual,primary,warmup,recovery_6_24,aci_bounded,4,33,0.0754464506265254,0.14266606486665132,0.30303030303030304,0.6060606060606061,0.6666666666666666,0.4733328894919653,4
nist,joint_gradual,primary,warmup,recovery_6_24,carry_forward,1,35,0.03479277773337533,0.04139502731494127,0.34285714285714286,0.6,0.7714285714285715,0.3804810368976457,4
nist,joint_gradual,primary,warmup,recovery_6_24,carry_forward,2,35,0.05509018670828276,0.07689726042095296,0.2571428571428571,0.4857142857142857,0.6,0.4269469849935296,4
nist,joint_gradual,primary,warmup,recovery_6_24,carry_forward,3,34,0.07107354978928712,0.12283150370908025,0.11764705882352941,0.38235294117647056,0.6176470588235294,0.4553214812351957,4
nist,joint_gradual,primary,warmup,recovery_6_24,carry_forward,4,33,0.08118557525759824,0.1604434189473184,0.09090909090909091,0.2727272727272727,0.6060606060606061,0.4544602714139402,4
nist,joint_gradual,primary,warmup,recovery_6_24,geometric_persistence,1,35,0.029671693301488895,0.03352246925479032,0.8857142857142857,0.9428571428571428,0.9714285714285714,0.2423080854943826,4
nist,joint_gradual,primary,warmup,recovery_6_24,geometric_persistence,2,35,0.04392026134553033,0.0561572328718113,0.8857142857142857,0.9428571428571428,0.9714285714285714,0.377309778430529,4
nist,joint_gradual,primary,warmup,recovery_6_24,geometric_persistence,3,34,0.05155999064434061,0.07181287473944539,0.8529411764705882,0.9411764705882353,0.9705882352941176,0.4607236245154907,4
nist,joint_gradual,primary,warmup,recovery_6_24,geometric_persistence,4,33,0.057047182150627394,0.0874596731470373,0.7878787878787878,0.9393939393939394,0.9696969696969697,0.505571501973759,4
nist,joint_gradual,primary,warmup,recovery_6_24,mask50,1,35,0.027940544345471885,0.04334131059898508,0.4857142857142857,0.7714285714285715,0.8571428571428571,0.18927904459293066,4
nist,joint_gradual,primary,warmup,recovery_6_24,mask50,2,35,0.049526998978632185,0.07746472164549599,0.4857142857142857,0.7428571428571429,0.8,0.3830760629030953,4
nist,joint_gradual,primary,warmup,recovery_6_24,mask50,3,34,0.06563829274296422,0.11386149200774912,0.38235294117647056,0.6176470588235294,0.7941176470588235,0.45615128920224324,4
nist,joint_gradual,primary,warmup,recovery_6_24,mask50,4,33,0.07547008288550894,0.14266606486665132,0.30303030303030304,0.6060606060606061,0.6666666666666666,0.47143573843035796,4
nist,joint_gradual,primary,warmup,recovery_6_24,mi_recency,1,35,0.03269374973239499,0.05043607316430596,0.6285714285714286,0.7714285714285715,0.9142857142857143,0.19036557015676106,4
nist,joint_gradual,primary,warmup,recovery_6_24,mi_recency,2,35,0.05158619628087373,0.08541040323856636,0.5428571428571428,0.8571428571428571,0.9428571428571428,0.2791047954193369,4
nist,joint_gradual,primary,warmup,recovery_6_24,mi_recency,3,34,0.07199513597369496,0.12681526700771587,0.4117647058823529,0.7941176470588235,0.8529411764705882,0.3865528091007827,4
nist,joint_gradual,primary,warmup,recovery_6_24,mi_recency,4,33,0.08437374356936837,0.15723727120896464,0.45454545454545453,0.6363636363636364,0.8484848484848485,0.43499399269440164,4
nist,joint_gradual,primary,warmup,recovery_6_24,multiple_imputation,1,35,0.032904763221283294,0.05043607316430596,0.7714285714285715,0.8857142857142857,0.9142857142857143,0.18732925143480594,4
nist,joint_gradual,primary,warmup,recovery_6_24,multiple_imputation,2,35,0.05124986914193885,0.08541040323856636,0.42857142857142855,0.8285714285714286,0.9142857142857143,0.24163996689692005,4
nist,joint_gradual,primary,warmup,recovery_6_24,multiple_imputation,3,34,0.07733771523259414,0.12681526700771587,0.29411764705882354,0.6470588235294118,0.7058823529411765,0.2800760521514933,4
nist,joint_gradual,primary,warmup,recovery_6_24,multiple_imputation,4,33,0.09772449481062882,0.15723727120896464,0.24242424242424243,0.48484848484848486,0.6060606060606061,0.3060213275093708,4
nist,joint_gradual,primary,warmup,recovery_6_24,persistence,1,35,0.03621144691012718,0.04420297113304132,0.8571428571428571,0.9714285714285714,0.9714285714285714,0.3066106628318117,4
nist,joint_gradual,primary,warmup,recovery_6_24,persistence,2,35,0.053716281459757896,0.07921419951800446,0.8,0.9428571428571428,0.9714285714285714,0.4550878955793622,4
nist,joint_gradual,primary,warmup,recovery_6_24,persistence,3,34,0.06131868154354464,0.09687112750530577,0.8235294117647058,0.9411764705882353,0.9705882352941176,0.5161616940828788,4
nist,joint_gradual,primary,warmup,recovery_6_24,persistence,4,33,0.0649593718186136,0.1074300504117645,0.8484848484848485,0.9393939393939394,0.9696969696969697,0.5418339941714895,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical,1,35,0.027909352368364313,0.04334131059898508,0.4857142857142857,0.7428571428571429,0.8571428571428571,0.18957064307161164,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical,2,35,0.04951021350395694,0.07746472164549599,0.5142857142857142,0.7428571428571429,0.8,0.38352818938382927,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical,3,34,0.06565769776189934,0.11386149200774912,0.38235294117647056,0.6470588235294118,0.7941176470588235,0.4569133223938831,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical,4,33,0.07523940832446097,0.14266606486665132,0.30303030303030304,0.6060606060606061,0.6666666666666666,0.4710087610231207,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical_availability,1,35,0.027886301434442932,0.04334131059898508,0.4857142857142857,0.7428571428571429,0.8857142857142857,0.19036591515150927,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical_availability,2,35,0.0492972897005727,0.07746472164549599,0.5142857142857142,0.7714285714285715,0.8285714285714286,0.3852341231469805,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical_availability,3,34,0.06553408973538083,0.11386149200774912,0.4117647058823529,0.6470588235294118,0.7647058823529411,0.45827260073682324,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical_availability,4,33,0.07488435981842548,0.14266606486665132,0.30303030303030304,0.6363636363636364,0.7272727272727273,0.4733717330064258,4
nist,joint_gradual,primary,warmup,recovery_6_24,physical_recovery,1,35,0.027789339319018374,0.04334131059898508,0.4857142857142857,0.7428571428571429,0.8857142857142857,0.18883809865445367,4
