native_date,bright_hours,ac_max_w,ac_median_w,dc_max_w,dc_median_w,dc_v_median,poa_median,module_sentinel_fraction,all_observed_bright_ac_below_10w
2016-06-16,10,753.33987,597.2212683333333,818.4726766666666,650.7929508333333,242.97226916666665,778.1119441666667,0.0,False
2016-06-17,10,745.4952366666668,593.0022658333332,809.9124883333334,645.6342983333334,243.31686583333334,766.5076433333334,0.0,False
2016-06-18,10,720.8970416666667,580.7043683333334,782.7624633333332,631.9371333333333,240.85294666666667,751.3041191666666,0.0,False
2016-06-19,10,737.1641249999999,589.0414349999999,802.1441566666667,641.8661383333333,239.5435308333333,777.5425025,0.0,False
2016-06-20,5,707.1123200000001,470.54273333333333,767.8036783333333,514.9182216666667,254.149065,605.0728466666666,0.0,False
2016-06-21,9,699.5036183333334,576.9141866666666,761.0960183333334,629.7236933333334,238.94468,752.236575,0.0,False
2016-06-22,7,598.4583716666667,295.1556466666667,649.86311,330.11297666666667,245.90753166666667,368.9846616666666,0.0,False
2016-06-23,9,633.7249016666666,304.004102,690.1452750000001,338.80212016666667,243.126145,382.864503,0.0,False
2016-06-24,8,594.847765,367.40240083333333,647.9388733333333,406.24211583333334,245.45153249999998,476.87483499999996,0.0,False
2016-06-25,9,701.3711000000001,448.35234,761.3161516666667,492.23765,243.31111333333334,567.4534016666668,0.0,False
2016-06-26,10,746.51708,594.0421033333334,810.6979200000001,646.4723558333334,242.57517416666667,770.9364466666668,0.0,False
2016-06-27,10,739.2494383333334,593.2989366666667,802.9707766666667,646.1919358333333,242.38977,770.7994883333333,0.0,False
2016-06-28,10,720.9049416666668,508.72345083333335,783.07679,555.9758891666667,244.15260666666666,662.8963808333333,0.0,False
2016-06-29,9,741.9616483333334,434.09682499999997,806.2921533333333,474.6832733333333,245.10496333333333,574.9095316666667,0.0,False
2016-06-30,7,462.869865,286.3842716666667,505.1862566666667,319.1511816666667,252.12347,353.36114333333336,0.0,False
2016-07-01,6,487.01845,302.6127706666666,530.62584,335.93757475,250.29940083333332,371.62375025,0.0,False
2016-07-02,8,611.4684233333334,307.6529066666667,663.6704333333333,340.60068583333333,250.92352916666667,378.9545283333333,0.0,False
2016-07-03,9,781.1065883333334,388.263445,847.8009133333333,430.36959,242.7763733333333,494.95365000000004,0.0,False
2016-07-04,10,696.9932783333334,443.0407016666667,756.7793233333334,486.07389333333333,242.9657575,575.6751925,0.0,False
2016-07-05,10,766.44688,487.96919333333335,831.9839116666667,534.2415491666666,241.3802675,639.9675016666666,0.0,False
2016-07-06,10,516.408761,407.82280416666663,564.0899115,451.1312108333333,244.3665208333333,532.690605,0.0,False
2016-07-07,10,751.5762599999999,601.2901233333333,816.2148966666666,654.667495,244.66315749999998,773.968515,0.0,False
2016-07-08,10,594.3777566666666,372.64756775,647.7294766666668,411.7491416666667,247.1681375,491.1782575,0.0,False
2016-07-09,10,743.3003166666666,535.3295674999999,808.955265,587.03376,238.68981583333334,708.0684566666666,0.0,False
2016-07-10,10,722.1200983333333,538.8107523333333,786.5820283333334,589.8333241666667,238.39654166666668,712.3163225000001,0.0,False
2016-07-11,10,759.7807416666667,556.6921508333334,824.6017216666667,606.8560933333333,246.29641916666665,718.1690116666666,0.0,False
2016-07-12,10,757.8517883333334,602.1310658333333,823.1464566666667,655.2484891666666,243.16967083333333,783.7722808333333,0.0,False
2016-07-13,10,762.6302433333333,599.6174141666668,828.7791149999999,653.352255,242.97272750000002,777.6235391666667,0.0,False
2016-07-14,10,758.3024499999999,564.172965,823.1535166666667,614.5416224999999,245.77371333333335,726.3440866666667,0.0,False
2016-07-15,10,660.7913433333334,335.2574025,719.2204516666666,373.60402999999997,246.55917666666664,433.454395,0.0,False
2016-07-16,10,610.3622783333334,465.4469683333333,663.3263766666666,509.26777500000003,243.6658316666667,614.7280841666667,0.0,False
2016-07-17,8,795.92441,509.95911083333334,865.31348,556.4453866666666,240.5875375,677.5601808333333,0.0,False
2016-07-18,9,571.4654883333334,460.80658,621.3298083333334,506.19197833333334,243.96486166666668,584.6687949999999,0.0,False
2016-07-19,9,717.3875483333334,531.9998166666667,780.4328233333333,583.7244833333333,241.72758333333334,704.631115,0.0,False
2016-07-20,7,742.461475,454.7985933333333,807.16654,501.80810333333335,238.63139833333335,601.8344766666667,0.0,False
2016-07-21,8,740.9281683333334,447.5300383333333,806.0515350000001,491.7886741666666,240.19026250000002,597.0995633333333,0.0,False
2016-07-22,9,666.9540583333333,437.351225,725.0134233333333,479.86675833333334,240.08395833333333,589.0877883333334,0.0,False
2016-07-23,9,718.2847399999999,429.2162833333333,782.6799850000001,471.03128833333335,238.60428666666667,579.67286,0.0,False
2016-07-24,10,709.6119783333332,392.4946616666666,769.9356516666667,432.42671333333334,245.5336325,506.7773891666666,0.0,False
2016-07-25,10,755.061505,564.0390516666666,819.7043900000001,615.275605,245.17136166666668,725.9781458333333,0.0,False
2016-07-26,8,563.40796,261.65086916666667,615.5186466666667,294.08965666666666,246.99576916666666,347.56834333333336,0.0,False
