site,case_id,case_group,phase,method,n,fallback_fraction,global_fallback_fraction,mean_pool,mean_effective_n,mean_score_age_h,nesting_repaired_fraction
reserve10,joint_gradual,primary,recovery_6_24,rolling,1683,0.0,0.0,355.2002376708259,355.2002376708259,4.796197266785502,0.23945335710041593
reserve10,joint_none,primary,normal,aci_bounded,12450,0.0,0.0,333.9053815261044,333.9053815261044,4.8963052208835345,0.22843373493975905
reserve10,joint_none,primary,normal,mask50,12450,0.0,0.0576706827309237,333.9053815261044,190.9696302041316,4.8963052208835345,0.24562248995983935
reserve10,joint_none,primary,normal,mi_recency,12450,0.0,0.0,333.9053815261044,246.50445436559153,4.8963052208835345,0.38345381526104416
reserve10,joint_none,primary,normal,physical,12450,0.0,0.0,333.9053815261044,175.2736744516248,4.8963052208835345,0.2595983935742972
reserve10,joint_none,primary,normal,physical_availability,12450,0.0,0.004257028112449799,333.9053815261044,135.4785288447592,4.8963052208835345,0.2801606425702811
reserve10,joint_none,primary,normal,physical_recovery,12450,0.0,0.004738955823293173,333.9053815261044,134.9729286061369,4.8963052208835345,0.2778313253012048
reserve10,joint_none,primary,normal,recency,12450,0.0,0.0,333.9053815261044,246.50445436559153,4.8963052208835345,0.23566265060240965
reserve10,joint_none,primary,normal,rolling,12450,0.0,0.0,333.9053815261044,333.9053815261044,4.8963052208835345,0.2229718875502008
reserve10,joint_none,primary,outage,aci_bounded,1193,0.0,0.0,327.1349538977368,327.1349538977368,14.559932942162614,0.2564962279966471
reserve10,joint_none,primary,outage,mask50,1193,0.0,0.8147527242246437,327.1349538977368,236.19941209057566,14.559932942162614,0.26823134953897737
reserve10,joint_none,primary,outage,mi_recency,1193,0.0,0.0,327.1349538977368,242.30907483763858,14.559932942162614,0.36546521374685664
reserve10,joint_none,primary,outage,physical,1193,0.0,0.0,327.1349538977368,177.98073853941088,14.559932942162614,0.3067896060352054
reserve10,joint_none,primary,outage,physical_availability,1193,0.0,0.14836546521374686,327.1349538977368,149.98087466062694,14.559932942162614,0.30595138306789604
reserve10,joint_none,primary,outage,physical_recovery,1193,0.0,0.14836546521374686,327.1349538977368,149.98087466062694,14.559932942162614,0.30595138306789604
reserve10,joint_none,primary,outage,recency,1193,0.0,0.0,327.1349538977368,242.30907483763858,14.559932942162614,0.27242246437552387
reserve10,joint_none,primary,outage,rolling,1193,0.0,0.0,327.1349538977368,327.1349538977368,14.559932942162614,0.24224643755238895
reserve10,joint_none,primary,recovery_0_6,aci_bounded,510,0.0,0.0,336.30392156862746,336.30392156862746,5.427450980392157,0.24509803921568626
reserve10,joint_none,primary,recovery_0_6,mask50,510,0.0,0.13137254901960785,336.30392156862746,219.54139620843833,5.427450980392157,0.25098039215686274
reserve10,joint_none,primary,recovery_0_6,mi_recency,510,0.0,0.0,336.30392156862746,250.0748174733974,5.427450980392157,0.3568627450980392
reserve10,joint_none,primary,recovery_0_6,physical,510,0.0,0.0,336.30392156862746,178.30507098953288,5.427450980392157,0.24313725490196078
reserve10,joint_none,primary,recovery_0_6,physical_availability,510,0.0,0.00980392156862745,336.30392156862746,111.1429689054405,5.427450980392157,0.2549019607843137
reserve10,joint_none,primary,recovery_0_6,physical_recovery,510,0.0,0.011764705882352941,336.30392156862746,123.73557797245488,5.427450980392157,0.2568627450980392
reserve10,joint_none,primary,recovery_0_6,recency,510,0.0,0.0,336.30392156862746,250.0748174733974,5.427450980392157,0.24509803921568626
reserve10,joint_none,primary,recovery_0_6,rolling,510,0.0,0.0,336.30392156862746,336.30392156862746,5.427450980392157,0.24509803921568626
