measured_on,metric_id,value,reason,source_year
2016-12-27 15:30:24,3018,8.116,off_quarter_hour_grid,2016
2016-12-27 15:30:24,3022,98624.57,off_quarter_hour_grid,2016
2016-12-27 21:25:29,3015,0.02,off_quarter_hour_grid,2016
2016-12-27 15:30:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-27 21:25:29,3018,0.0,off_quarter_hour_grid,2016
2016-12-27 21:25:29,3022,98624.609,off_quarter_hour_grid,2016
2016-12-28 21:28:33,3022,98624.828,off_quarter_hour_grid,2016
2016-12-28 21:28:33,3015,0.0,off_quarter_hour_grid,2016
2016-12-29 21:28:06,3018,0.0,off_quarter_hour_grid,2016
2016-12-03 05:45:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-03 21:24:29,3018,0.0,off_quarter_hour_grid,2016
2016-12-03 21:24:29,3022,98620.148,off_quarter_hour_grid,2016
2016-12-03 05:45:24,3022,98620.07,off_quarter_hour_grid,2016
2016-12-03 05:45:24,3018,1.571,off_quarter_hour_grid,2016
2016-12-03 21:24:29,3015,0.02,off_quarter_hour_grid,2016
2016-12-30 21:30:24,3018,0.0,off_quarter_hour_grid,2016
2016-12-30 21:30:24,3022,98625.25,off_quarter_hour_grid,2016
2016-12-30 21:30:24,3015,0.02,off_quarter_hour_grid,2016
2016-12-31 21:25:29,3015,0.02,off_quarter_hour_grid,2016
2016-12-31 21:25:29,3018,0.087,off_quarter_hour_grid,2016
2016-12-31 21:25:29,3022,98625.406,off_quarter_hour_grid,2016
2016-12-04 20:15:24,3018,1.484,off_quarter_hour_grid,2016
2016-12-04 20:15:24,3022,98620.367,off_quarter_hour_grid,2016
2016-12-04 21:23:58,3018,0.0,off_quarter_hour_grid,2016
2016-12-04 20:15:24,3015,0.0,off_quarter_hour_grid,2016
2016-12-05 21:15:24,3015,0.0,off_quarter_hour_grid,2016
2016-12-05 21:15:24,3018,0.0,off_quarter_hour_grid,2016
2016-12-05 21:15:24,3022,98620.484,off_quarter_hour_grid,2016
2016-12-06 21:15:12,3018,1.134,off_quarter_hour_grid,2016
2016-12-06 21:15:12,3022,98620.688,off_quarter_hour_grid,2016
2016-12-06 21:15:12,3015,0.0,off_quarter_hour_grid,2016
2016-12-07 21:30:18,3018,0.0,off_quarter_hour_grid,2016
2016-12-07 21:30:18,3022,98620.844,off_quarter_hour_grid,2016
2016-12-07 21:30:18,3015,0.02,off_quarter_hour_grid,2016
2016-12-08 21:24:08,3015,0.02,off_quarter_hour_grid,2016
2016-12-08 21:24:08,3022,98621.023,off_quarter_hour_grid,2016
2016-12-09 21:25:41,3018,0.785,off_quarter_hour_grid,2016
2016-02-10 06:45:24,3018,0.0,off_quarter_hour_grid,2016
2016-02-10 06:45:24,3022,79686.648,off_quarter_hour_grid,2016
2016-02-10 06:45:24,3015,0.0,off_quarter_hour_grid,2016
2016-02-16 23:45:24,3015,0.02,off_quarter_hour_grid,2016
2016-02-16 23:45:24,3018,0.698,off_quarter_hour_grid,2016
2016-02-16 23:45:24,3022,79684.367,off_quarter_hour_grid,2016
2016-02-02 23:40:03,3022,79550.469,off_quarter_hour_grid,2016
2016-02-02 23:40:03,3015,0.02,off_quarter_hour_grid,2016
2016-02-27 10:30:24,3022,80034.727,off_quarter_hour_grid,2016
2016-02-27 10:30:24,3018,579.007,off_quarter_hour_grid,2016
2016-02-27 10:30:24,3015,13.3,off_quarter_hour_grid,2016
2016-02-06 12:00:24,3015,1.28,off_quarter_hour_grid,2016
2016-02-06 12:00:24,3018,277.33,off_quarter_hour_grid,2016
2016-02-06 12:00:24,3022,79588.945,off_quarter_hour_grid,2016
2016-02-09 23:56:57,3015,0.02,off_quarter_hour_grid,2016
2016-02-09 23:56:57,3022,79686.625,off_quarter_hour_grid,2016
2016-03-01 23:45:24,3018,0.0,off_quarter_hour_grid,2016
2016-03-01 23:45:24,3022,80228.164,off_quarter_hour_grid,2016
2016-03-01 23:45:24,3015,0.02,off_quarter_hour_grid,2016
2016-03-12 16:56:29,3015,0.22,off_quarter_hour_grid,2016
2016-03-12 16:56:29,3018,72.518,off_quarter_hour_grid,2016
2016-03-12 16:56:29,3022,80337.945,off_quarter_hour_grid,2016
2016-03-21 07:41:43,3018,93.2,off_quarter_hour_grid,2016
2016-03-21 07:41:44,3022,80623.164,off_quarter_hour_grid,2016
2016-03-21 07:41:44,3015,0.02,off_quarter_hour_grid,2016
2016-03-22 23:45:24,3018,2.443,off_quarter_hour_grid,2016
2016-03-22 23:45:24,3022,80624.742,off_quarter_hour_grid,2016
2016-03-22 23:45:24,3015,0.0,off_quarter_hour_grid,2016
2016-03-27 17:00:24,3018,127.408,off_quarter_hour_grid,2016
2016-03-27 17:00:24,3022,80852.563,off_quarter_hour_grid,2016
2016-03-27 17:00:24,3015,0.6,off_quarter_hour_grid,2016
2016-03-29 02:29:30,3015,0.0,off_quarter_hour_grid,2016
2016-03-29 23:57:34,3022,80893.766,off_quarter_hour_grid,2016
