site,population,endpoint,method,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,forecast_target_pairs,strata,min_events_per_stratum,min_cases_per_stratum,wis_kw,width90_kw
colorado,exclude_bright_zero,recovery_0_6,mask50,0.04528494568847918,0.09411967462774605,0.5590261713265873,0.813060499100548,0.9064864280855293,0.39945104194687925,3591,28,30,124,0.04528494568847918,0.39945104194687925
colorado,exclude_bright_zero,recovery_0_6,mi_recency,0.03862040151266768,0.0727296048158306,0.5505106864396082,0.8496930397879502,0.9408173336057934,0.2704756109425201,3591,28,30,124,0.03862040151266768,0.2704756109425201
colorado,exclude_bright_zero,recovery_0_6,multiple_imputation,0.04230581073942237,0.0727296048158306,0.6623497393749552,0.8076502611986636,0.8886614758838637,0.23410079825961544,3591,28,30,124,0.04230581073942237,0.23410079825961544
colorado,exclude_bright_zero,recovery_0_6,persistence,0.04858090886778295,0.07967186819956014,0.9953232461422985,1.0,1.0,0.49299509907931977,3591,28,30,124,0.04858090886778295,0.49299509907931977
colorado,exclude_bright_zero,recovery_0_6,physical,0.04432726325628551,0.09411967462774605,0.6124068537603062,0.8701596331973133,0.9324618175449249,0.3999434796810239,3591,28,30,124,0.04432726325628551,0.3999434796810239
colorado,exclude_bright_zero,recovery_0_6,physical_availability,0.0443586438004122,0.09411967462774605,0.6076038680053977,0.8696836972115347,0.933115628281541,0.4004633326425469,3591,28,30,124,0.0443586438004122,0.4004633326425469
colorado,exclude_bright_zero,recovery_0_6,physical_recovery,0.04436996934771054,0.09411967462774605,0.6036769272273779,0.8670415324133829,0.9371367698798465,0.39983308755975633,3591,28,30,124,0.04436996934771054,0.39983308755975633
colorado,exclude_bright_zero,recovery_0_6,previous_day,0.022824481844857157,0.007020733529427785,0.9755971693816311,0.9870610829452493,0.988501175111148,0.41817856909383017,3591,28,30,124,0.022824481844857157,0.41817856909383017
colorado,exclude_bright_zero,recovery_0_6,raw,0.055822986244936985,0.09411967462774605,0.062026040550316144,0.1453859794485253,0.3151484727036502,0.34597967680523534,3591,28,30,124,0.055822986244936985,0.34597967680523534
colorado,exclude_bright_zero,recovery_0_6,recency,0.04530977668939922,0.09411967462774605,0.5587714644089277,0.8124777410054271,0.9067591537852172,0.3994126812283122,3591,28,30,124,0.04530977668939922,0.3994126812283122
colorado,exclude_bright_zero,recovery_0_6,rolling,0.04533542215390284,0.09411967462774605,0.5374592192876353,0.8091428033572657,0.9092222103931721,0.3994235149974211,3591,28,30,124,0.04533542215390284,0.3994235149974211
colorado,exclude_bright_zero,recovery_0_6,single_imputation,0.041710445269769296,0.07132991289245182,0.6678014985399547,0.8104560939893535,0.8905050523707826,0.23204915169109122,3591,28,30,124,0.041710445269769296,0.23204915169109122
colorado,exclude_bright_zero,recovery_6_24,aci_bounded,0.05140521511394141,0.11116877959536846,0.5227259438790239,0.8131394131714794,0.9022594077314162,0.3970780498403819,12308,28,46,430,0.05140521511394141,0.3970780498403819
colorado,exclude_bright_zero,recovery_6_24,carry_forward,0.08494251716433969,0.13775158554953143,0.046000865093434394,0.11989439385331736,0.27239703984013336,0.42125222242813065,12308,28,46,430,0.08494251716433969,0.42125222242813065
colorado,exclude_bright_zero,recovery_6_24,geometric_persistence,0.03751254657756713,0.037116994034011926,0.9744847380737944,0.9852096090987936,0.9903388569080979,0.4579130545342768,12308,28,46,430,0.03751254657756713,0.4579130545342768
colorado,exclude_bright_zero,recovery_6_24,mask50,0.05147121030988987,0.11116877959536846,0.5034842458445749,0.7896586361693891,0.894052651406216,0.3959586920484048,12308,28,46,430,0.05147121030988987,0.3959586920484048
colorado,exclude_bright_zero,recovery_6_24,mi_recency,0.043035821598477415,0.07934292492719267,0.5472476971626461,0.8266280067218571,0.9076335780915966,0.27618929636503514,12308,28,46,430,0.043035821598477415,0.27618929636503514
colorado,exclude_bright_zero,recovery_6_24,multiple_imputation,0.047910199487825565,0.07934292492719267,0.64384168914592,0.8010539664892651,0.8613126343894111,0.23483600635761248,12308,28,46,430,0.047910199487825565,0.23483600635761248
colorado,exclude_bright_zero,recovery_6_24,persistence,0.05124848703794853,0.08102711159059171,0.9739198427196053,0.9839155665107954,0.9907407940614389,0.5015564358814217,12308,28,46,430,0.05124848703794853,0.5015564358814217
colorado,exclude_bright_zero,recovery_6_24,physical,0.05040325870284234,0.11116877959536846,0.5597293629377712,0.8337795210764848,0.9202287267539433,0.39591731698569216,12308,28,46,430,0.05040325870284234,0.39591731698569216
colorado,exclude_bright_zero,recovery_6_24,physical_availability,0.050319372098718215,0.11116877959536846,0.560792749720193,0.8331154616390083,0.9245903321392408,0.396572661919916,12308,28,46,430,0.050319372098718215,0.396572661919916
colorado,exclude_bright_zero,recovery_6_24,physical_recovery,0.0503680994939432,0.11116877959536846,0.5565806029169761,0.8313302726701369,0.9219170869744661,0.39638547870941165,12308,28,46,430,0.0503680994939432,0.39638547870941165
colorado,exclude_bright_zero,recovery_6_24,previous_day,0.027288575075359967,0.014104492148000794,0.9670879937968586,0.974729722450203,0.9804176604263076,0.4162802025088656,12308,28,46,430,0.027288575075359967,0.4162802025088656
colorado,exclude_bright_zero,recovery_6_24,raw,0.06295968428170869,0.11116877959536846,0.0746946333373748,0.16481612062105508,0.35026994731236494,0.33896965913299076,12308,28,46,430,0.06295968428170869,0.33896965913299076
colorado,exclude_bright_zero,recovery_6_24,recency,0.05148409633178447,0.11116877959536846,0.4997436265972626,0.7903151996660085,0.8937356596493197,0.39580223946038845,12308,28,46,430,0.05148409633178447,0.39580223946038845
colorado,exclude_bright_zero,recovery_6_24,rolling,0.05152099689038764,0.11116877959536846,0.4993252818994667,0.790569547038321,0.8934857165439657,0.3961613765544246,12308,28,46,430,0.05152099689038764,0.3961613765544246
colorado,exclude_bright_zero,recovery_6_24,single_imputation,0.04840949456634821,0.07973037338290676,0.6408214922545857,0.7969337109353091,0.8570320834043764,0.23387862276011903,12308,28,46,430,0.04840949456634821,0.23387862276011903
colorado,recorded_ac,all,aci_bounded,0.04908370392956377,0.10509152602168402,0.5231156810715188,0.8191969926712156,0.9141710892089967,0.400536802874538,126624,32,0,3957,0.04908370392956377,0.400536802874538
colorado,recorded_ac,all,carry_forward,0.0858389113456063,0.1369774817900551,0.03723622693960071,0.09859110437199899,0.2528351655294415,0.42105106798967984,126624,32,0,3957,0.0858389113456063,0.42105106798967984
colorado,recorded_ac,all,geometric_persistence,0.03564312236150186,0.033093521116513584,0.987150935051807,0.9937847485468789,0.9958933535506698,0.45531787861211637,126624,32,0,3957,0.03564312236150186,0.45531787861211637
colorado,recorded_ac,all,mask50,0.04913952303171634,0.10509152602168402,0.5009555850391711,0.7967683851402578,0.9059893858984079,0.3994135774271481,126624,32,0,3957,0.04913952303171634,0.3994135774271481
colorado,recorded_ac,all,mi_recency,0.04408026517084569,0.08065824144107936,0.5289123704826889,0.8080537654788982,0.9005085923679556,0.277404508595761,126624,32,0,3957,0.04408026517084569,0.277404508595761
colorado,recorded_ac,all,multiple_imputation,0.04836971322024641,0.08065824144107936,0.6422558124842052,0.8016173869092748,0.8621114480667172,0.2389578096315485,126624,32,0,3957,0.04836971322024641,0.2389578096315485
colorado,recorded_ac,all,persistence,0.0489735138987877,0.07640942119953047,0.9882249810462471,0.9943928481172606,0.9961065832701541,0.4974107661733168,126624,32,0,3957,0.0489735138987877,0.4974107661733168
colorado,recorded_ac,all,physical,0.0480455739717428,0.10509152602168402,0.552675638109679,0.8478566464493303,0.9357862648471064,0.3996066101339066,126624,32,0,3957,0.0480455739717428,0.3996066101339066
colorado,recorded_ac,all,physical_availability,0.04803315725555631,0.10509152602168402,0.5524703057872126,0.8474143922163255,0.9357783674500885,0.3995617711327509,126624,32,0,3957,0.04803315725555631,0.3995617711327509
colorado,recorded_ac,all,physical_recovery,0.04803934118196593,0.10509152602168402,0.5532205585039172,0.8478171594642406,0.9360547763457164,0.3995574005009587,126624,32,0,3957,0.04803934118196593,0.3995574005009587
colorado,recorded_ac,all,previous_day,0.023843882332592936,0.008358656344227838,0.9795062547384382,0.985192380591357,0.9884776977508213,0.41754642599780073,126624,32,0,3957,0.023843882332592936,0.41754642599780073
colorado,recorded_ac,all,raw,0.06066485135981186,0.10509152602168402,0.0576746904220369,0.14441969926712156,0.3254517311094263,0.3430357767264148,126624,32,0,3957,0.06066485135981186,0.3430357767264148
colorado,recorded_ac,all,recency,0.049150679501417834,0.10509152602168402,0.49934451604751073,0.7980398660601465,0.9061710260298206,0.3995145843443257,126624,32,0,3957,0.049150679501417834,0.3995145843443257
colorado,recorded_ac,all,rolling,0.04926787558779388,0.10509152602168402,0.49747283295425826,0.7922984584281021,0.9000505433409148,0.39951304330661863,126624,32,0,3957,0.04926787558779388,0.39951304330661863
colorado,recorded_ac,all,single_imputation,0.04949591554513408,0.08084207572515575,0.6413870988122314,0.7970526914329037,0.8547036896638868,0.23464722458499962,126624,32,0,3957,0.04949591554513408,0.23464722458499962
colorado,recorded_ac,failure_recovery,aci_bounded,0.057599731480852776,0.12561924132748756,0.5285532399298806,0.8168225080369016,0.9126618831544627,0.43084566856439316,24646,28,46,859,0.057599731480852776,0.43084566856439316
colorado,recorded_ac,failure_recovery,carry_forward,0.08352501009673734,0.1361631257504289,0.046260624111378094,0.11971574384893476,0.29381632901723853,0.4239779235514702,24646,28,46,859,0.08352501009673734,0.4239779235514702
colorado,recorded_ac,failure_recovery,geometric_persistence,0.03646208018493003,0.03572442138768941,0.9804833227332477,0.9902177604807738,0.9934202096516114,0.4552225301205337,24646,28,46,859,0.03646208018493003,0.4552225301205337
colorado,recorded_ac,failure_recovery,mask50,0.05767031401374425,0.12561924132748756,0.5083951285556174,0.7928994912352371,0.9027916347022312,0.42976603441274214,24646,28,46,859,0.05767031401374425,0.42976603441274214
