method,origins,mean_score_updates_all_horizons,max_score_updates_all_horizons,p95_score_updates_all_horizons,fraction_origins_with_updates,site,case_id,case_group
recency,8012,1.9860209685471792,4,4.0,0.4965052421367948,nist,privileged_labels,diagnostic
physical,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,cross_site_weights,sensitivity
physical_availability,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,cross_site_weights,sensitivity
physical_recovery,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,cross_site_weights,sensitivity
recency,8012,1.9860209685471792,20,4.0,0.4665501747378932,nist,cross_site_weights,sensitivity
physical,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,stale_transport,sensitivity
physical_availability,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,stale_transport,sensitivity
physical_recovery,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,stale_transport,sensitivity
recency,8012,1.836245631552671,4,4.0,0.45906140788816774,nist,stale_transport,sensitivity
aci_bounded,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,clean,primary
mask50,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,clean,primary
mi_recency,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,clean,primary
physical,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,clean,primary
physical_availability,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,clean,primary
physical_recovery,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,clean,primary
recency,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,clean,primary
rolling,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,clean,primary
aci_bounded,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,pv_only,primary
mask50,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,pv_only,primary
mi_recency,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,pv_only,primary
physical,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,pv_only,primary
physical_availability,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,pv_only,primary
physical_recovery,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,pv_only,primary
recency,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,pv_only,primary
rolling,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,pv_only,primary
aci_bounded,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,irradiance_only,primary
mask50,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,irradiance_only,primary
mi_recency,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,irradiance_only,primary
physical,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,irradiance_only,primary
physical_availability,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,irradiance_only,primary
physical_recovery,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,irradiance_only,primary
recency,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,irradiance_only,primary
rolling,8012,1.9755366949575637,4,4.0,0.4938841737393909,colorado,irradiance_only,primary
aci_bounded,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,joint_immediate,primary
mask50,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,joint_immediate,primary
mi_recency,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,joint_immediate,primary
physical,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,joint_immediate,primary
physical_availability,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,joint_immediate,primary
physical_recovery,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,joint_immediate,primary
recency,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,joint_immediate,primary
rolling,8012,1.9755366949575637,48,4.0,0.45931103344982527,colorado,joint_immediate,primary
aci_bounded,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,joint_gradual,primary
mask50,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,joint_gradual,primary
mi_recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,joint_gradual,primary
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,joint_gradual,primary
