recovery_hour_bin,nwis,n,site,method
12,0.04844737660841351,702,nist,physical_recovery
13,0.049326889624277746,721,nist,physical_recovery
14,0.045625505524211775,702,nist,physical_recovery
15,0.046872612538180654,705,nist,physical_recovery
16,0.05290724204060597,711,nist,physical_recovery
17,0.04770617449230644,693,nist,physical_recovery
18,0.05006660837591916,688,nist,physical_recovery
19,0.055005322726279726,680,nist,physical_recovery
20,0.05439036700121937,660,nist,physical_recovery
21,0.05110670233732908,654,nist,physical_recovery
22,0.04619307563452074,643,nist,physical_recovery
23,0.043657620137088606,637,nist,physical_recovery
0,0.05100770082769749,610,colorado,raw
1,0.05110808651935629,615,colorado,raw
2,0.05534372976505864,597,colorado,raw
3,0.0594418708185846,574,colorado,raw
4,0.060122643991525136,590,colorado,raw
5,0.060606397747786825,605,colorado,raw
6,0.05976845703327523,639,colorado,raw
7,0.0605381898116749,677,colorado,raw
8,0.0603233998893688,702,colorado,raw
9,0.059889421158731714,712,colorado,raw
10,0.06000785591854849,703,colorado,raw
11,0.060436958922728025,705,colorado,raw
12,0.06022050315080656,707,colorado,raw
13,0.0630783683962542,691,colorado,raw
14,0.06404208687459988,698,colorado,raw
15,0.0647285761659532,703,colorado,raw
16,0.06678531819617842,688,colorado,raw
17,0.06838689112597658,691,colorado,raw
18,0.06564017887596374,687,colorado,raw
19,0.06688633520864572,683,colorado,raw
20,0.06807868735757443,674,colorado,raw
21,0.06667208708300534,662,colorado,raw
22,0.06414299289578128,652,colorado,raw
23,0.057211207966445646,634,colorado,raw
0,0.0422354460114664,610,colorado,recency
1,0.04213289032534774,615,colorado,recency
2,0.04514107660699935,597,colorado,recency
3,0.04756465476828492,574,colorado,recency
4,0.04777101447712107,590,colorado,recency
5,0.0486331976160531,605,colorado,recency
6,0.048529441640346394,639,colorado,recency
7,0.049347501790884464,677,colorado,recency
8,0.049510173726630094,702,colorado,recency
9,0.04918289494419129,712,colorado,recency
10,0.04897988700477835,703,colorado,recency
11,0.04949303075775962,705,colorado,recency
12,0.04983127654357702,707,colorado,recency
13,0.051000831389740146,691,colorado,recency
14,0.05143105245816792,698,colorado,recency
15,0.052287406225261644,703,colorado,recency
16,0.05400554677942192,688,colorado,recency
17,0.05560602168311992,691,colorado,recency
18,0.05370182457940872,687,colorado,recency
19,0.055072786328344135,683,colorado,recency
20,0.05639386075568347,674,colorado,recency
21,0.05520017370444301,662,colorado,recency
22,0.052681370634657124,652,colorado,recency
23,0.04683735103442511,634,colorado,recency
0,0.04143684427510839,610,colorado,physical_availability
1,0.041282002788648665,615,colorado,physical_availability
2,0.044273614856224934,597,colorado,physical_availability
3,0.0466135018097407,574,colorado,physical_availability
4,0.046680940190075605,590,colorado,physical_availability
5,0.04750686678466627,605,colorado,physical_availability
6,0.04742732827385738,639,colorado,physical_availability
7,0.04820290891895524,677,colorado,physical_availability
8,0.048444969640188365,702,colorado,physical_availability
9,0.04803228563976678,712,colorado,physical_availability
10,0.047929409919866175,703,colorado,physical_availability
11,0.04852453150940246,705,colorado,physical_availability
12,0.04878911299806711,707,colorado,physical_availability
13,0.04998946811570811,691,colorado,physical_availability
14,0.050475502394081585,698,colorado,physical_availability
15,0.05131268260430042,703,colorado,physical_availability
16,0.05292925782419962,688,colorado,physical_availability
17,0.05423209916158507,691,colorado,physical_availability
18,0.05238120053926749,687,colorado,physical_availability
19,0.05351580559091869,683,colorado,physical_availability
20,0.054797929083244386,674,colorado,physical_availability
21,0.05399242213216576,662,colorado,physical_availability
22,0.05148920198487537,652,colorado,physical_availability
23,0.045625964148525607,634,colorado,physical_availability
0,0.041427799195029875,610,colorado,physical_recovery
1,0.0412240579980052,615,colorado,physical_recovery
2,0.04420067915051899,597,colorado,physical_recovery
3,0.04655058140362384,574,colorado,physical_recovery
4,0.04686018448129873,590,colorado,physical_recovery
5,0.047601096799228915,605,colorado,physical_recovery
6,0.047483097989586956,639,colorado,physical_recovery
7,0.04826747329109302,677,colorado,physical_recovery
