site,population,pool,endpoint,contrast,supported,metric,left_mean,right_mean,difference,ci_lower,ci_upper,relative_difference,relative_ci_lower,relative_ci_upper,strata,paired_rows,eligible_days,calendar_blocks,nonempty_blocks,block_days,bootstrap_replicates,valid_replicates,rejected_fraction,seed
reserve10,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.052096088313754,0.0520700940279863,2.5994285767681757e-05,-4.128719499236645e-05,0.0001001703624231,0.0004992171850834,-0.0008152442292704,0.0018576152436702,4,2193,83,48,45,7,10000,10000,0.0,377206610
reserve10,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.052096088313754,0.0520700940279863,2.5994285767681757e-05,-2.7960678876750784e-05,8.837624067145523e-05,0.0004992171850834,-0.0005524379997548,0.0016477720241877,4,2193,83,24,24,14,10000,10000,0.0,1044188752
reserve10,recorded_ac,privileged_labels,recovery,physical_recovery_minus_physical_availability,True,nwis,0.052096088313754,0.0520700940279863,2.5994285767681757e-05,-2.0758793654379948e-05,8.571957440688964e-05,0.0004992171850834,-0.0004385697645014,0.0014762257083275,4,2193,83,12,12,28,10000,10000,0.0,1668415425
nist,recorded_ac,training_2015,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0498698554483209,0.0498852994872004,-1.5444038879458555e-05,-0.0001144956759361,8.933306700650701e-05,-0.0003095909824781,-0.0023376594731344,0.0017627610926985,4,2305,76,48,47,7,10000,10000,0.0,152311447
nist,recorded_ac,training_2015,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0498698554483209,0.0498852994872004,-1.5444038879458555e-05,-0.0001288439777253,0.0001171887446045,-0.0003095909824781,-0.0025763428965173,0.002309582099876,4,2305,76,24,24,14,10000,10000,0.0,3095738830
nist,recorded_ac,training_2015,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0498698554483209,0.0498852994872004,-1.5444038879458555e-05,-0.0001367255831382,0.0001271810984018,-0.0003095909824781,-0.0027365511497876,0.0024258198964772,4,2305,76,12,12,28,10000,10000,0.0,1299675107
colorado,recorded_ac,training_2015,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0924362697593488,0.0923568539381938,7.941582115494894e-05,-6.931320306869451e-05,0.0002325177622311,0.0008598801038425,-0.0007476228930556,0.0024849897071981,4,2271,86,48,46,7,10000,10000,0.0,1113670770
colorado,recorded_ac,training_2015,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0924362697593488,0.0923568539381938,7.941582115494894e-05,-4.404375185248499e-05,0.0002095520960065,0.0008598801038425,-0.0004796941114458,0.0022874093152111,4,2271,86,24,24,14,10000,10000,0.0,287707266
colorado,recorded_ac,training_2015,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0924362697593488,0.0923568539381938,7.941582115494894e-05,-3.6816124379044846e-05,0.0001919762143786,0.0008598801038425,-0.0003997750574936,0.0020772359877612,4,2271,86,12,12,28,10000,10000,0.0,2430278889
nist,recorded_ac,cross_site_weights,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0732933797706205,0.0730033890038084,0.0002899907668121,1.6936551955549373e-05,0.0005884415588798,0.003972291845205,0.0002322921474744,0.0078965004372438,4,2305,76,48,47,7,10000,10000,0.0,740976166
nist,recorded_ac,cross_site_weights,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0732933797706205,0.0730033890038084,0.0002899907668121,-1.8078061226274927e-05,0.0006268156440466,0.003972291845205,-0.0002558797409375,0.0084110067386388,4,2305,76,24,24,14,10000,10000,0.0,1686311959
nist,recorded_ac,cross_site_weights,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0732933797706205,0.0730033890038084,0.0002899907668121,-8.004430922650163e-05,0.000697088637619,0.003972291845205,-0.0011077144157087,0.0092654911599082,4,2305,76,12,12,28,10000,10000,0.0,4174829523
colorado,recorded_ac,cross_site_weights,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0563969401191871,0.0563628451524324,3.4094966754674716e-05,-7.394877084172107e-06,7.866340700966034e-05,0.0006049191921107,-0.0001294266249885,0.0013968739953791,4,2271,86,48,46,7,10000,10000,0.0,129414368
colorado,recorded_ac,cross_site_weights,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0563969401191871,0.0563628451524324,3.4094966754674716e-05,-9.45834247172393e-06,7.778484481628708e-05,0.0006049191921107,-0.000165145177001,0.0013971306289562,4,2271,86,24,24,14,10000,10000,0.0,1974089138
colorado,recorded_ac,cross_site_weights,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0563969401191871,0.0563628451524324,3.4094966754674716e-05,5.242282720619926e-06,6.156192051561309e-05,0.0006049191921107,9.197560989377666e-05,0.001092893880349,4,2271,86,12,12,28,10000,10000,0.0,3405386743
colorado,recorded_ac,right_aligned,recovery,physical_recovery_minus_physical_availability,True,nwis,0.0425850358276825,0.0425405949711176,4.444085656493679e-05,8.261158396428992e-06,8.696544725887728e-05,0.0010446693704004,0.0001960885195471,0.0020317076982505,4,2271,86,48,46,7,10000,10000,0.0,1404159753
