horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
2,293,0.0490582518103706,0.0836212074526659,0.0614334470989761,0.1501706484641638,0.3515358361774744,0.4210974946558256,45,colorado,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.0662367179280549,0.1119553539081435,0.0787671232876712,0.1678082191780822,0.2979452054794521,0.4142928306709884,44,colorado,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.0792623828118472,0.1520347119376713,0.0824742268041237,0.1649484536082474,0.3367697594501718,0.4175988468221055,43,colorado,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.0685599460341365,0.0647321551647147,0.0572390572390572,0.1616161616161616,0.2895622895622896,0.4859424701390128,46,colorado,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.0960545775879805,0.2236387638202173,0.0375426621160409,0.1160409556313993,0.2559726962457337,0.4604323784542795,45,colorado,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.095856590137979,0.181348153032707,0.0787671232876712,0.1335616438356164,0.2294520547945205,0.4304560677357588,44,colorado,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.0940718732320172,0.2027498992161137,0.0515463917525773,0.1305841924398625,0.3058419243986254,0.4235604958140759,43,colorado,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.0685599460341365,0.0647321551647147,0.0572390572390572,0.1616161616161616,0.2895622895622896,0.4859424701390128,46,colorado,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.0960545775879805,0.2236387638202173,0.0375426621160409,0.1160409556313993,0.2559726962457337,0.4604323784542795,45,colorado,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.095856590137979,0.181348153032707,0.0787671232876712,0.1335616438356164,0.2294520547945205,0.4304560677357588,44,colorado,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.0940718732320172,0.2027498992161137,0.0515463917525773,0.1305841924398625,0.3058419243986254,0.4235604958140759,43,colorado,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,301,0.0398070003769922,0.0640976762319771,0.4717607973421927,0.7873754152823921,0.8870431893687708,0.3036061874454177,47,reserve10,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.0525989714745219,0.0911081506792995,0.412751677852349,0.7416107382550335,0.8557046979865772,0.4001941136253746,46,reserve10,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.0592571850968142,0.1074626840091437,0.404040404040404,0.6936026936026936,0.8619528619528619,0.4199438267906385,45,reserve10,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.0624442562568787,0.1198545472204626,0.4074074074074074,0.6936026936026936,0.8417508417508418,0.4217319419415746,44,reserve10,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,301,0.0503996659024423,0.0874137519039546,0.5116279069767442,0.7973421926910299,0.9401993355481728,0.4384212322144227,47,reserve10,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,298,0.0570778333615078,0.1022115102164767,0.4798657718120805,0.7818791946308725,0.8859060402684564,0.4388873656794682,46,reserve10,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.0607185700774965,0.1148414595472609,0.4006734006734007,0.7205387205387206,0.8653198653198653,0.437359279417824,45,reserve10,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,297,0.0625859597893646,0.1211143702719192,0.4141414141414141,0.7003367003367004,0.8484848484848485,0.4245355816659865,44,reserve10,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
