phase,event_id,difference,contrast,site,scenario
recovery_0_6,31,-0.00010441072725759304,physical_minus_recency,nist,joint_gradual
recovery_0_6,32,-0.0004658152051874499,physical_minus_recency,nist,joint_gradual
recovery_0_6,34,7.973780486509516e-05,physical_minus_recency,nist,joint_gradual
recovery_0_6,35,0.00012303505333570347,physical_minus_recency,nist,joint_gradual
recovery_0_6,36,0.00012426211055213874,physical_minus_recency,nist,joint_gradual
recovery_0_6,37,-0.00018045199218925573,physical_minus_recency,nist,joint_gradual
recovery_0_6,38,0.0006137530539020815,physical_minus_recency,nist,joint_gradual
recovery_0_6,39,6.447426399112419e-05,physical_minus_recency,nist,joint_gradual
recovery_0_6,40,-0.0011145283842292953,physical_minus_recency,nist,joint_gradual
recovery_0_6,41,-0.0038746365677010397,physical_minus_recency,nist,joint_gradual
recovery_0_6,42,0.00014177927767298476,physical_minus_recency,nist,joint_gradual
recovery_0_6,43,-0.000634249271154309,physical_minus_recency,nist,joint_gradual
recovery_0_6,44,0.00021272450611517502,physical_minus_recency,nist,joint_gradual
recovery_0_6,45,-0.00045935753616811205,physical_minus_recency,nist,joint_gradual
recovery_0_6,46,-0.001171911261152366,physical_minus_recency,nist,joint_gradual
recovery_0_6,47,7.399058943421335e-05,physical_minus_recency,nist,joint_gradual
recovery_0_6,48,0.000272903017898396,physical_minus_recency,nist,joint_gradual
recovery_0_6,49,0.00046313811387268665,physical_minus_recency,nist,joint_gradual
recovery_0_6,50,-0.00043783659249784423,physical_minus_recency,nist,joint_gradual
recovery_6_24,26,-0.0010579231689250663,physical_minus_recency,nist,joint_gradual
recovery_6_24,27,0.0002743331148104788,physical_minus_recency,nist,joint_gradual
recovery_6_24,28,-0.0007949189446630093,physical_minus_recency,nist,joint_gradual
recovery_6_24,29,0.00024338462675958447,physical_minus_recency,nist,joint_gradual
recovery_6_24,30,0.0001909073293348891,physical_minus_recency,nist,joint_gradual
recovery_6_24,31,-0.00022725581338490277,physical_minus_recency,nist,joint_gradual
recovery_6_24,32,-4.06196498874437e-05,physical_minus_recency,nist,joint_gradual
recovery_6_24,33,6.956482047745903e-05,physical_minus_recency,nist,joint_gradual
recovery_6_24,34,-9.827860214307726e-05,physical_minus_recency,nist,joint_gradual
recovery_6_24,35,0.00016656175231910628,physical_minus_recency,nist,joint_gradual
recovery_6_24,36,-0.00017747325624118513,physical_minus_recency,nist,joint_gradual
recovery_6_24,37,3.684955205987596e-05,physical_minus_recency,nist,joint_gradual
recovery_6_24,38,0.00034058043059777884,physical_minus_recency,nist,joint_gradual
recovery_6_24,39,0.000208332504075138,physical_minus_recency,nist,joint_gradual
recovery_6_24,40,6.0839595313685275e-05,physical_minus_recency,nist,joint_gradual
recovery_6_24,41,0.0005735429392944342,physical_minus_recency,nist,joint_gradual
recovery_6_24,42,-0.0005323834691653925,physical_minus_recency,nist,joint_gradual
recovery_6_24,43,0.0002986908467078893,physical_minus_recency,nist,joint_gradual
recovery_6_24,44,-0.0005470353321889435,physical_minus_recency,nist,joint_gradual
recovery_6_24,45,-0.0018080709654878125,physical_minus_recency,nist,joint_gradual
recovery_6_24,46,-0.0011100943904693947,physical_minus_recency,nist,joint_gradual
recovery_6_24,47,-0.00019966681755431074,physical_minus_recency,nist,joint_gradual
recovery_6_24,48,9.319360195138758e-05,physical_minus_recency,nist,joint_gradual
recovery_6_24,49,0.00023431421071301868,physical_minus_recency,nist,joint_gradual
recovery_6_24,50,6.864892521750176e-05,physical_minus_recency,nist,joint_gradual
recovery_6_24,51,-0.00011422475330309718,physical_minus_recency,nist,joint_gradual
outage,26,0.0001788147915947299,mask50_minus_recency,nist,joint_gradual
outage,27,-4.1532399942083e-05,mask50_minus_recency,nist,joint_gradual
