phase,event_id,difference,contrast,site
outage,36,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,37,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,38,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,39,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,40,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,42,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,43,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,44,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,45,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,46,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,47,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,48,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,49,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,50,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,51,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,26,0.0075759483445932176,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,27,2.679600339606694e-05,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,28,0.002553459837080508,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,29,-0.0010083772277742643,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,31,-1.2831354665449957e-05,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,32,-0.0004493707248170543,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,34,0.0010887687420319892,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,35,9.590408327573696e-06,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,36,0.012858120371959195,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,37,-0.002484850643164509,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,38,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,39,0.002734351162313903,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,40,0.0064217894385649775,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,41,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,42,-0.0060895984236628235,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,43,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,44,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,45,-0.013361790197829852,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,46,0.003771224364192572,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,47,-0.0016259488694875422,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,48,-0.0011561204020613483,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,49,-0.00044072425686972084,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_0_6,50,0.0051226254465097905,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,26,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,27,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,28,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,29,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,30,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,31,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,32,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,33,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,34,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,35,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,36,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,37,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,38,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,39,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,40,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,41,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,42,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,43,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,44,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,45,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,46,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,47,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,48,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,49,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,50,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
recovery_6_24,51,0.0,joint_gradual_minus_immediate__quantile_flexible,nist
outage,26,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,27,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,28,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,29,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,30,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,31,0.0,joint_none_minus_immediate__quantile_flexible,nist
outage,32,0.0,joint_none_minus_immediate__quantile_flexible,nist
