site,case_id,case_group,phase,method,n,fallback_fraction,global_fallback_fraction,mean_pool,mean_effective_n,mean_score_age_h,nesting_repaired_fraction
nist,joint_none,primary,recovery_6_24,recency,1787,0.0,0.0,329.5405707890319,245.56014471024247,5.040850587576944,0.251259093452714
nist,joint_none,primary,recovery_6_24,rolling,1787,0.0,0.0,329.5405707890319,329.5405707890319,5.040850587576944,0.24790151091214327
nist,irradiance_first,primary,normal,aci_bounded,12159,0.0,0.0,363.09811662143267,363.09811662143267,4.8171724648408585,0.2181922855497985
nist,irradiance_first,primary,normal,mask50,12159,0.0,0.07796693807056501,363.09811662143267,217.70527313852256,4.8171724648408585,0.22847273624475697
nist,irradiance_first,primary,normal,mi_recency,12159,0.0,0.0,363.09811662143267,268.38352601649035,4.8171724648408585,0.34632782301176085
nist,irradiance_first,primary,normal,physical,12159,0.0,0.0,363.09811662143267,191.0763893894308,4.8171724648408585,0.23381857060613537
nist,irradiance_first,primary,normal,physical_availability,12159,0.0,0.0023850645612303644,363.09811662143267,146.89264304727078,4.8171724648408585,0.24755325273459988
nist,irradiance_first,primary,normal,physical_recovery,12159,0.0,0.003783205855744716,363.09811662143267,144.28573999045702,4.8171724648408585,0.2467308166790032
nist,irradiance_first,primary,normal,recency,12159,0.0,0.0,363.09811662143267,268.38352601649035,4.8171724648408585,0.21630068262192614
nist,irradiance_first,primary,normal,rolling,12159,0.0,0.0,363.09811662143267,363.09811662143267,4.8171724648408585,0.21153055349946542
nist,irradiance_first,primary,outage,aci_bounded,1191,0.0,0.0,355.48026868178,355.48026868178,13.932829554995802,0.20067170445004198
nist,irradiance_first,primary,outage,mask50,1191,0.0,0.40890008396305627,355.48026868178,243.55571015912912,13.932829554995802,0.2040302267002519
nist,irradiance_first,primary,outage,mi_recency,1191,0.0,0.0,355.48026868178,263.77766890485015,13.932829554995802,0.44584382871536526
nist,irradiance_first,primary,outage,physical,1191,0.0,0.0,355.48026868178,190.66376371696927,13.932829554995802,0.20570948782535683
