horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
2,300,0.06347194751266676,0.12651004839240582,0.4166666666666667,0.7533333333333333,0.8733333333333333,0.4415146654835531,46,nist,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.06264153030259496,0.12610294376590342,0.3872053872053872,0.7508417508417509,0.8754208754208754,0.42343698789180056,46,nist,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.06146078190694231,0.1257850319273604,0.41694915254237286,0.7593220338983051,0.8677966101694915,0.4137981000635776,45,nist,joint_immediate,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.06933463211821868,0.1353540710023759,0.4816053511705686,0.7959866220735786,0.862876254180602,0.5126632647071091,46,nist,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.06347194751266676,0.12651004839240582,0.4166666666666667,0.7533333333333333,0.8733333333333333,0.4415146654835531,46,nist,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.06264153030259496,0.12610294376590342,0.3872053872053872,0.7508417508417509,0.8754208754208754,0.42343698789180056,46,nist,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.06146078190694231,0.1257850319273604,0.41694915254237286,0.7593220338983051,0.8677966101694915,0.4137981000635776,45,nist,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.06933463211821868,0.1353540710023759,0.4816053511705686,0.7959866220735786,0.862876254180602,0.5126632647071091,46,nist,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.06347194751266676,0.12651004839240582,0.4166666666666667,0.7533333333333333,0.8733333333333333,0.4415146654835531,46,nist,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.06264153030259496,0.12610294376590342,0.3872053872053872,0.7508417508417509,0.8754208754208754,0.42343698789180056,46,nist,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.06146078190694231,0.1257850319273604,0.41694915254237286,0.7593220338983051,0.8677966101694915,0.4137981000635776,45,nist,joint_gradual,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.021433526405113496,0.029368680054410335,0.07407407407407407,0.20875420875420875,0.4377104377104377,0.13127602913983455,46,colorado,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.05021764936959127,0.0830394521495919,0.06825938566552901,0.14675767918088736,0.40955631399317405,0.4049209012366521,45,colorado,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.07103923803467853,0.11999686221488914,0.08561643835616438,0.17123287671232876,0.2945205479452055,0.4032044133059073,44,colorado,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
