site,year,variant,month,geometric_daylight_hours,valid_pv_hours,pv_mean_kw,pv_median_kw,pv_min_kw,pv_max_kw,poa_mean_w_m2,exact_zero_hours,below_one_percent_capacity_hours,bright_valid_hours,bright_near_idle_hours
colorado,2016,primary,2016-07,434,434,0.3181237418017154,0.26474341833333337,0.00030425302402333333,0.79592441,426.4749964333238,0,22,285,0
colorado,2016,primary,2016-08,432,432,0.32190619475982873,0.247685785,0.0008107428094833333,0.83994171,424.8370906934698,0,56,263,0
colorado,2016,primary,2016-09,361,361,0.3996467609713604,0.36718581333333333,0.00167931703585,0.8558091483333334,520.4956676830791,0,16,266,0
colorado,2016,primary,2016-10,346,346,0.42509431526310487,0.4308693416666667,0.001122387332,0.887007185,543.1968769578314,0,18,258,0
colorado,2016,primary,2016-11,300,300,0.4293759634399332,0.47990183833333333,0.0014099359426666667,0.8638734883333333,546.1340652823178,0,35,229,2
colorado,2016,primary,2016-12,310,309,0.1287352722477425,0.0030612821833333336,0.0,0.8416782316666667,464.4381337735561,2,210,207,135
colorado,2017,primary,2017-02,294,294,0.003095619448356009,0.003110761841666667,0.0028982822,0.00323555865,474.8657712299455,0,294,196,196
colorado,2017,primary,2017-03,365,365,0.0031101836779908673,0.0031081891166666667,0.0029476671833333335,0.0032329659166666666,472.9218744133105,0,365,233,233
colorado,2017,primary,2017-04,394,394,0.003105065745896785,0.00310428,0.0029671444333333333,0.003235865583333333,476.1747193164074,0,394,260,260
colorado,2017,primary,2017-05,434,434,0.0031160820026497693,0.003118697508333333,0.0029774347833333337,0.0032334678,404.30873229550264,0,434,257,257
colorado,2017,primary,2017-06,420,420,0.0031094578410714286,0.0031055761833333334,0.0030180686833333335,0.0032124468333333336,424.85592843518134,0,420,258,258
colorado,2017,primary,2017-07,434,434,0.0030953460352918585,0.0030925616166666667,0.0030172987166666664,0.0031791562333333334,387.55989666777646,0,434,249,249
colorado,2017,primary,2017-08,432,432,0.0031196518447530863,0.003115430933333333,0.0030411545500000003,0.0032193795000000002,412.35337193449607,0,432,256,256
colorado,2017,primary,2017-09,361,361,0.003126324867913204,0.0031244933500000002,0.003000895633333333,0.0032252317833333334,431.1840938579293,0,361,224,224
colorado,2017,primary,2017-10,347,347,0.003121425922622478,0.00312762245,0.0029609735833333335,0.0032260995000000002,496.8164089536151,0,347,230,230
colorado,2017,primary,2017-11,300,292,0.0031334186765410955,0.0031365054,0.0029798763833333336,0.00324595145,452.4579305401548,0,292,193,193
colorado,2017,primary,2017-12,310,184,0.1575421950570833,0.003368400016666667,0.0018223583738333333,0.8518746766666666,421.5300497944962,0,103,115,61
colorado,2017,narrow_quality,2017-02,294,294,0.003095619448356009,0.003110761841666667,0.0028982822,0.00323555865,474.8657712299455,0,294,196,196
colorado,2017,narrow_quality,2017-03,365,365,0.0031101836779908673,0.0031081891166666667,0.0029476671833333335,0.0032329659166666666,472.9218744133105,0,365,233,233
colorado,2017,narrow_quality,2017-04,394,394,0.003105065745896785,0.00310428,0.0029671444333333333,0.003235865583333333,474.95219498896824,0,394,259,259
colorado,2017,narrow_quality,2017-05,434,434,0.0031160820026497693,0.003118697508333333,0.0029774347833333337,0.0032334678,404.30873229550264,0,434,257,257
colorado,2017,narrow_quality,2017-06,420,420,0.0031094578410714286,0.0031055761833333334,0.0030180686833333335,0.0032124468333333336,424.85592843518134,0,420,258,258
colorado,2017,narrow_quality,2017-07,434,434,0.0030953460352918585,0.0030925616166666667,0.0030172987166666664,0.0031791562333333334,388.45703034709004,0,434,249,249
colorado,2017,narrow_quality,2017-08,432,432,0.0031196518447530863,0.003115430933333333,0.0030411545500000003,0.0032193795000000002,412.35337193449607,0,432,256,256
colorado,2017,narrow_quality,2017-09,361,361,0.003126324867913204,0.0031244933500000002,0.003000895633333333,0.0032252317833333334,431.1840938579293,0,361,224,224
colorado,2017,narrow_quality,2017-10,347,347,0.003121425922622478,0.00312762245,0.0029609735833333335,0.0032260995000000002,496.8164089536151,0,347,230,230
colorado,2017,narrow_quality,2017-11,300,292,0.0031334186765410955,0.0031365054,0.0029798763833333336,0.00324595145,452.4579305401548,0,292,193,193
colorado,2017,narrow_quality,2017-12,310,184,0.1575421950570833,0.003368400016666667,0.0018223583738333333,0.8518746766666666,421.5300497944962,0,103,115,61
colorado,2017,right_aligned,2017-02,294,294,0.0030956520769841274,0.003110446058333333,0.002898191783333333,0.0032355821333333334,474.83318995389686,0,294,197,197
colorado,2017,right_aligned,2017-03,365,365,0.003110228494657534,0.0031081700833333332,0.0029477422666666668,0.0032329449333333335,472.9007191399133,0,365,234,234
colorado,2017,right_aligned,2017-04,394,394,0.0031051030728003384,0.0031037053500000003,0.002967001583333333,0.0032361522166666668,476.17448363799787,0,394,259,259
colorado,2017,right_aligned,2017-05,434,434,0.0031161025260368668,0.003118129025,0.0029769403833333334,0.0032336531500000002,404.3037595528886,0,434,257,257
colorado,2017,right_aligned,2017-06,420,420,0.0031094583836111115,0.0031061079750000003,0.0030176932999999998,0.0032132799333333332,424.85360103270915,0,420,257,257
colorado,2017,right_aligned,2017-07,434,434,0.0030953285827956993,0.003092492666666667,0.0030177977,0.003178609166666667,387.56883327706606,0,434,247,247
colorado,2017,right_aligned,2017-08,432,432,0.0031196235983410488,0.003115526866666667,0.0030404556333333333,0.0032198419833333334,412.346289903111,0,432,256,256
colorado,2017,right_aligned,2017-09,361,361,0.003126304903647276,0.003124417066666667,0.0030008808333333334,0.0032245657333333333,431.1566370227687,0,361,224,224
colorado,2017,right_aligned,2017-10,347,347,0.0031214448633045152,0.003127806,0.002960597316666667,0.0032269240333333334,496.825658905421,0,347,230,230
colorado,2017,right_aligned,2017-11,300,292,0.0031334189114155257,0.003136348916666667,0.0029799149500000003,0.0032462268833333336,452.41426774182713,0,292,196,196
colorado,2017,right_aligned,2017-12,310,184,0.1575419561925,0.003372815675,0.0018233288738333335,0.8530456833333333,421.49733084950606,0,103,115,60
