site,case_id,case_group,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,days,population,endpoint
reserve10,clean,primary,persistence,3,3954,0.1313547272594785,0.271551887374863,0.5288315629742033,0.825240263024785,0.9223571067273647,0.816611495027197,0,325,exclude_bright_zero,all
reserve10,clean,primary,persistence,4,3954,0.14706464304395006,0.3065536434708598,0.5217501264542236,0.817653009610521,0.9175518462316642,0.8806857654341519,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical,1,3954,0.03884565831457538,0.06389370475258582,0.5030349013657056,0.8072837632776935,0.9084471421345472,0.30787200089822747,0,326,exclude_bright_zero,all
reserve10,clean,primary,physical,2,3954,0.0520689956079403,0.08977066997722571,0.5083459787556904,0.8118361153262519,0.9089529590288316,0.4062261086558407,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical,3,3954,0.057970817992095455,0.1027695339015478,0.5055639858371269,0.8131006575619626,0.9084471421345472,0.43446427190386144,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical,4,3954,0.06104916729277332,0.11042282476238839,0.5045523520485584,0.8118361153262519,0.9064238745574102,0.4421272677312761,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical_availability,1,3954,0.03883664293782397,0.06389370475258582,0.5035407182599899,0.8077895801719778,0.9071825998988367,0.3084656134070065,0,326,exclude_bright_zero,all
reserve10,clean,primary,physical_availability,2,3954,0.0520621642459462,0.08977066997722571,0.5106221547799696,0.8110773899848255,0.9087000505816895,0.4064787050429208,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical_availability,3,3954,0.05797335998598798,0.1027695339015478,0.5058168942842691,0.8103186646433991,0.9071825998988367,0.4342501533260788,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical_availability,4,3954,0.06104712685292451,0.11042282476238839,0.5015174506828528,0.8090541224076884,0.9066767830045523,0.4417624654273668,0,325,exclude_bright_zero,all
reserve10,clean,primary,physical_recovery,1,3954,0.03883645622389046,0.06389370475258582,0.5035407182599899,0.8085483055134042,0.9076884167931208,0.3086901822054832,0,326,exclude_bright_zero,all
